  BOTTLE,20140204PRINUNIVRMK
# 3/18/99 
# Initialized README file for WOCE leg P-14S15S (CGC-96) 
# 	EXPOCODE 31DSCG96_1,2, 31DS19960105 
# 182 stations with 24 (23) and 36 (159) place Rosettes; 29 stations on P14S and 
# 	144 stations on P15S 
# 	Leg 1 Stations 1-93 
# 	Leg 2 Stations 94-182 
# R/V Discoverer  1/5 - 3/10/96 
# Hydro: Who - PMEL; Status - final 
# 	Notes: data from WHP/SIO 7/27/98 
# 	Salinity - G. Thomas; Oxygen - K. Hargreaves 
# Nuts/O2: Who - Mordy, Zang; Status - final 
# 	Notes: data from WHP/SIO 7/27/98 
# 	AOU recalculated by Garcia method 9/7/99. 
# TCO2: Who - Feely; Status - final 
# 	Notes: data from WHP/SIO 7/27/98 
# 	Underway by Dickson.  
# 	Revised data received from Roberts 5/4/99  
# 	Revised data received from Roberts 5/10/2000 
# 	Revised data received from Roberts 6/30/2000 
# 	Sabine anthCO2 values merged 10/23/02  
# TA: Who - Millero; Status - final 
# 	Notes: data from WHP/SIO 7/27/98; not listed at CDIAC 
# 	Revised data received from Roberts 5/4/99. 
# 	Revised data received from Roberts 6/30/2000 and 
# 	A few calculated values from Sabine merged 10/23/02 
# fCO2: Who - Feely; Status - preliminary 
# 	Notes: data from WHP/SIO 7/27/98 
# 	Note from Roberts 8/4/98 indicates that updated pCO2 
# 		values expected from Wanninkhof 
# 	Revised data received from Roberts 5/4/99  
# pH25: Who - Byrne; Status - Final 
# 	Notes: data from WHP/SIO 7/27/98 
# 	Underway by Dickson 
# 	Revised data received from Roberts 6/30/2000 
# 	Measurements of pH were taken at 25�C on the total hydrogen ion 
# 		concentration ([H+]t) scale, in mol/kg soln. 
# CFC: Who - Bullister; Status - final 
# 	Notes: Calibrated CFC113 and CCl4 data received from Bullister  
# 		 6/14/2000. 
# 	CFC11 and CFC12 calibrated data from Bullister 
# C-14: Who - Quay; Status - final 
# 	Notes: Primary productivity carried out 
# 		on this cruise.  
# C-13: Who - Quay; Status - final 
# 	Notes: Data from Quay (J. Stutsman) on 9/9/99 
# Other: File also contains DON, DOC rcd from Roberts 5/4/99 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-12,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2_TMP,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,DON,DON_FLAG_W,DELC14,DELC13,DELC13_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,PMOL/KG,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,,,,DEG C,UMOL/KG,,UMOL/KG,,/MILLE,/MILLE,,DEG C
  31DS19960105,P14S15,     1,  1,     24,2,19960106,   0,-45.8240, 153.0840, 4468,      9.9,  11.7416,  34.7410,2,    275.4,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    3.577,    1.786, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.9219,3,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,  11.7403
  31DS19960105,P14S15,     1,  1,     23,2,19960106,   0,-45.8240, 153.0840, 4468,     43.4,  11.5635,  34.7726,2,    271.9,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    3.527,    1.793, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.9123,3,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,  11.5580
  31DS19960105,P14S15,     1,  1,     22,2,19960106,   0,-45.8240, 153.0840, 4468,    102.5,   9.6575,  34.7062,2,    268.0,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.8368,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   9.6460
  31DS19960105,P14S15,     1,  1,     21,2,19960106,   0,-45.8240, 153.0840, 4468,    203.1,   8.8419,  34.6225,2,    268.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.8181,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   8.8202
  31DS19960105,P14S15,     1,  1,     20,2,19960106,   0,-45.8240, 153.0840, 4468,    400.2,   8.3475,  34.5569,2,    253.6,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.7934,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   8.3057
  31DS19960105,P14S15,     1,  1,     19,2,19960106,   0,-45.8240, 153.0840, 4468,    601.8,   7.4251,  34.4559,2,    230.0,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.7365,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   7.3657
  31DS19960105,P14S15,     1,  1,     18,2,19960106,   0,-45.8240, 153.0840, 4468,    803.5,   6.0410,  34.4108,3,    201.4,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.6647,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   5.9690
  31DS19960105,P14S15,     1,  1,     17,2,19960106,   0,-45.8240, 153.0840, 4468,   1198.6,   3.6322,  34.3993,2,    190.5,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.5989,3,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   3.5433
  31DS19960105,P14S15,     1,  1,      9,2,19960106,   0,-45.8240, 153.0840, 4468,   1602.1,   2.8644,  34.5700,2,    162.1,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.098,    0.030, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.5716,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.7496
