BOTTLE,20090115PRINUNIVRMK
# 9/30/05 Initialized README file  
# Data from Wallace via Kozyr on 9/8/05; Original QC by Key with confirmation/corrections from A. Schneider 
# Ship: Polar Sea  
# Cruise: NEWP93   
# Dates 7/18/1993 - 8/20/1993 
# EXPOCODE 32L919930718 
# Region: polynia near northeastern Greenland 
# Chief Scientist - J. Deming(U.W.) 
# 102 stations with 12 place Rosette 
# Hydro: Who - J.Kinder(NCSU), T.S.Hopkins(NCSU); Status - final 
# 	Notes: 	High gradients near surface cause frequent disagreement between CTD and bottle salinity values 
# 	Bottom depth approximated from global topography 
# 	"bnlid" is the original BNL sample ID number 
# 	"ctdno" is the original sequential cast number 
# 	"somasal" is salinity measured by SOMMA system 
# Nuts/O2: Who - R.Wilke(BNL),C.Neill(BNL); Status - final 
# 	Notes: High gradients near surface cause frequent disagreement between CTD and bottle oxygen values 
# 	See Falck, 2001. 
# TCO2: Who - K.Johnson(BNL); Status - final 
# 	Notes: CRM batch and precision:Corrected by Johnson, but original info lost (accuracy <1.5umol/kg) 
# fCO2: Who - C. Neill(BNL),K.Johnson(BNL); Status - final  
# 	Notes: methods from Neill et al., 1997;  
# 		precision ~1.8 uatm; accuracy ~ 0.1% 
# C-14: Who - ???; Status - final 
# 	Some type of biological measurement. Units unknown. 
# H-3/He-3: Who -  Z. Top(U.Miami); Status -  final 
# 	Notes:  
# 	See Top et al., 1997 
# Other: POC, PON, ChlorA, Phaeopigments, Bacterial Abundance(in cells per ml) 
# References: 
# Falck, E., Contribution of waters of Atlantic and Pacific origin in the Northeast Water Polynya, Polar Res. 20(2), 193-200, 2001. 
# Top, Z., F. Bignami and T. Hopkins, Tritium-3He ages of deep waters in the NEW Polynya, J. Mar. Sys., 10, 175-184, 1997. 
EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,SOMSAL,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,TCARBN,TCARBN_FLAG_W,FCO2,FCO2_TMP,FCO2_FLAG_W,TRITUM,TRITER,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHER,DELHE3_FLAG_W,C14_BIO,C14_BIO_FLAG_W,POC,POC_FLAG_W,PON,PON_FLAG_W,CHLORA,CHLORA_FLAG_W,PHAEO,PHAEO_FLAG_W,BACT,BACT_FLAG_W,CTDNO,BNLID,THETA
,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,PSS-78,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,DEGC,,TU,TU,,NMOL/KG,,PERCNT,PERCNT,,UKNOWN,,ug/kg,,ug/kg,,UG/L,,UG/L,,CELLS/ML,,,,DEGC
  32L919930718,     1,  1,     12,2,19930722, 80.3100,  -9.6440,  317,      2.0,   3.9860,  30.4790,2,-999.0000,9,  31.0850,    378.1,2,    425.9,2,     2.67,2,    -0.01,2,  -999.00,9,     0.65,2,0.121000007,2,   1975.7,2,    419.2,      17.5,2,    5.910,    0.089,2,   1.8160,2,     0.00,     0.20,2,      0.8,2, 9.84500027,2,0.773999989,2,     0.15,2,     0.03,2,    24100,2,  3,   3012,   3.9859
  32L919930718,     1,  1,     11,2,19930722, 80.3100,  -9.6440,  317,      5.0,   1.8940,  31.8110,2,-999.0000,9,  31.5270,    434.5,2,    436.0,2,     2.78,2,     0.00,2,  -999.00,9,     0.67,2, 0.18900001,2,   1995.6,2,    417.3,      17.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,      1.2,2, 16.3470001,2, 1.05400002,2,     0.17,2,     0.01,2,   235000,2,  3,   3011,   1.8938
  32L919930718,     1,  1,     10,2,19930722, 80.3100,  -9.6440,  317,      9.0,   0.6460,  32.1830,2,  32.1890,2,  31.9860,    442.6,2,    435.9,2,     5.78,2,     0.93,2,  -999.00,9,     0.81,2,0.481999993,2,   2055.6,2,    507.6,      17.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,      1.4,2, 23.7980003,2, 1.23300004,2,     0.54,2,     0.05,2,    90800,2,  3,   3010,   0.6457
  32L919930718,     1,  1,      9,2,19930722, 80.3100,  -9.6440,  317,     15.0,  -0.9240,  32.3040,2,-999.0000,9,  32.0550,    422.0,2,    425.9,2,     6.16,2,     0.46,2,  -999.00,9,     0.84,2,0.490999997,2,   2069.2,2,    541.8,      17.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,      1.8,2, 26.9069996,2, 1.52400005,2,     0.50,2,     0.08,2,    75500,2,  3,   3009,  -0.9243
  32L919930718,     1,  1,      8,2,19930722, 80.3100,  -9.6440,  317,     21.0,  -1.5490,  32.3250,2,-999.0000,9,  32.1320,    381.7,2,    382.0,2,     9.92,2,     2.26,2,  -999.00,9,     0.96,2,0.413000017,2,   2099.3,2,    672.7,      17.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,      2.5,2, 22.2280006,2, 1.47899997,2,     1.64,2,     0.02,2,    67200,2,  3,   3008,  -1.5494
  32L919930718,     1,  1,      7,2,19930722, 80.3100,  -9.6440,  317,     33.0,  -1.5650,  32.3660,2,-999.0000,9,  32.2140,    351.5,2,    369.5,2,    11.75,2,     3.94,2,  -999.00,9,     1.03,2,0.326000005,2,   2115.5,2,    730.3,      17.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,      0.1,2, 9.72000027,2,0.612999976,2,     0.71,2,     0.10,2,    57500,2,  3,   3007,  -1.5656
  32L919930718,     1,  1,      6,2,19930722, 80.3100,  -9.6440,  317,     49.0,  -1.6980,  32.3980,2,-999.0000,9,  32.1520,    347.5,2,    368.5,2,    11.91,2,     4.07,2,  -999.00,9,     1.03,2,0.101000011,2,   2120.2,2,    745.2,      17.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,      0.0,2, 8.60700035,2,0.481999993,2,     0.31,2,     0.00,2,    75300,2,  3,   3006,  -1.6988
  32L919930718,     1,  1,      5,2,19930722, 80.3100,  -9.6440,  317,    100.0,  -1.5640,  33.0620,2,-999.0000,9,  32.8700,    318.1,2,    336.2,2,    13.90,2,     7.17,2,  -999.00,9,     0.99,2,0.072000004,2,   2142.3,2,    807.2,      17.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9, 7.46099997,2,0.397000015,2,     0.08,2,     0.03,2,    31700,2,  3,   3005,  -1.5659
  32L919930718,     1,  1,      4,2,19930722, 80.3100,  -9.6440,  317,    151.0,  -0.4000,  34.2360,2,-999.0000,9,  33.9340,    280.8,2,    296.7,2,    12.28,2,    11.87,2,  -999.00,9,     0.94,2,0.072000004,2,   2141.6,2,    740.2,      17.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9, 4.36800003,2,0.365999997,2,     0.04,2,     0.02,2,    62400,2,  3,   3004,  -0.4049
