BOTTLE,20130214PRINUNIVRMK
# 3/14/2012 Initialized README file
# Data source: SHIP: Ron Brown
# Cruise: RB-07-05; GOMECC2007
# Region: Gulf of Mexico and U.S. east coast
# EXPOCODE: 33RO20070710
# DATES: 7/10 - 8/4/2007
# Chief Scientist: T.-H. Peng and C. Langdon
# 90 stations with 24 place Rosette
# Hydro: Who - T.-H.Peng; Status - final
# 	Notes: 	
# Nuts: Who - C.Fischer; Status - final
# 	Notes:
# O2: Who - C.Langdon; Status - final
# 	Notes: 
# TCO2: Who - R.Wanninkhof; Status - final
# 	Notes: 
# TA: Who - R.Wanninkhof; Status - final 
# 	Notes:
# pH: Who - R.Wanninkhof; Status - final
# 	Notes:
# pCO2: Who - R.Wanninkhof; Status - final 
# 	Notes: 
# CFC: Who - S.Yvon-Lewis; Status - final 
# 	Notes: 
# DOC: Who - J.Salisbury, P.Vlahos; Status - final
# 	Notes:
# C13: Who - P.Vlahos; Status - unknown
# 	Notes: no data in file
# References: 
# Wanninkhof, R., J.-Z. Zhang, M. Baringer, C. Langdon, W.-J. Cai, J. Salisbury, and R. Byrne. 2011.  Carbon dioxide and hydrographic measurements during the 2007 NACP East Coast Cruise.  http://cdiac.ornl.gov/ftp/oceans/NACP_East_Coast_Cruise/. Carbon Dioxide Information Analysis Center, Oak Ridge National Laboratory, US Department of Energy, Oak Ridge, Tennessee. doi: 10.3334/CDIAC/otg.CLIVAR_NACP_East_Coast_Cruise_2007 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2_TMP,DOC,DOC_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEG C,UMOL/KG,,DEG C
  33RO20070710,GOMECC,1,1,101,1,2,20070711,419,28.9979,-94.9994,18,13.6,26.614,36,2,-999,9,114.4,2,115.4,6,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,26.6109
  33RO20070710,GOMECC,1,1,103,3,9,20070711,419,28.9979,-94.9994,18,13.5,26.624,35.988,2,-999,9,113.8,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,26.6209
  33RO20070710,GOMECC,1,1,104,4,9,20070711,420,28.9979,-94.9994,18,13.6,26.618,35.995,2,-999,9,114.1,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,26.6149
  33RO20070710,GOMECC,1,1,105,5,2,20070711,420,28.9979,-94.9994,18,13.5,26.625,35.987,2,35.98,2,114.1,2,-999,9,14.2,2,1.5,2,2.24,2,0.49,2,0.14,2,-999,9,-999,9,-999,9,2151.2,3,2416.6,2,449.7,2,20,104.5,2,26.6219
  33RO20070710,GOMECC,1,1,106,6,9,20070711,420,28.9979,-94.9994,18,13.5,26.622,35.991,2,-999,9,114.3,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,26.6189
  33RO20070710,GOMECC,1,1,107,7,2,20070711,420,28.9979,-94.9994,18,13.5,26.623,35.989,2,-999,9,113.7,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,26.6199
  33RO20070710,GOMECC,1,1,108,8,9,20070711,420,28.9979,-94.9994,18,13.6,26.622,35.991,2,-999,9,113.4,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,26.6189
  33RO20070710,GOMECC,1,1,109,9,9,20070711,420,28.9979,-94.9994,18,13.5,26.62,35.993,2,-999,9,113.8,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,26.6169
  33RO20070710,GOMECC,1,1,110,10,9,20070711,420,28.9979,-94.9994,18,13.5,26.621,35.992,2,-999,9,114.6,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,26.6179
  33RO20070710,GOMECC,1,1,111,11,9,20070711,421,28.9979,-94.9994,18,13.5,26.62,35.993,2,-999,9,114.3,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,26.6169
  33RO20070710,GOMECC,1,1,112,12,9,20070711,421,28.9979,-94.9994,18,13.5,26.618,35.994,2,-999,9,114.2,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,26.6149
  33RO20070710,GOMECC,1,1,113,13,2,20070711,423,28.9979,-94.9994,18,4,29.072,30.13,2,-999,9,215.5,2,219.5,6,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.071
  33RO20070710,GOMECC,1,1,114,14,4,20070711,424,28.9979,-94.9994,18,4.1,29.076,30.128,2,-999,9,215.6,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,185.4,2,29.075
  33RO20070710,GOMECC,1,1,115,15,2,20070711,424,28.9979,-94.9994,18,4,29.078,30.132,2,30.137,2,215.5,2,-999,9,7.7,2,0,2,0.04,2,0.16,2,0.19,2,-999,9,-999,9,-999,9,1995,2,2356.7,2,236.5,2,20,-999,9,29.077
  33RO20070710,GOMECC,1,1,116,16,9,20070711,424,28.9979,-94.9994,18,4,29.071,30.129,2,-999,9,215.4,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.07
  33RO20070710,GOMECC,1,1,117,17,9,20070711,424,28.9979,-94.9994,18,4,29.072,30.128,2,-999,9,215.4,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.071
  33RO20070710,GOMECC,1,1,118,18,9,20070711,424,28.9979,-94.9994,18,3.8,29.072,30.125,2,-999,9,215.6,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.0711
  33RO20070710,GOMECC,1,1,119,19,9,20070711,424,28.9979,-94.9994,18,4.1,29.083,30.14,2,30.143,2,215.6,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.082
  33RO20070710,GOMECC,1,1,120,20,9,20070711,424,28.9979,-94.9994,18,4,29.077,30.124,2,-999,9,215.7,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.076
  33RO20070710,GOMECC,1,1,121,21,9,20070711,425,28.9979,-94.9994,18,4,29.086,30.13,2,-999,9,215.9,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.085
  33RO20070710,GOMECC,1,1,122,22,9,20070711,425,28.9979,-94.9994,18,3.9,29.075,30.125,2,-999,9,215.7,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.0741
  33RO20070710,GOMECC,1,1,123,23,2,20070711,425,28.9979,-94.9994,18,4,29.078,30.126,2,-999,9,215.8,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.077
  33RO20070710,GOMECC,1,1,124,24,2,20070711,425,28.9979,-94.9994,18,4.1,29.076,30.131,2,-999,9,215.9,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.075
  33RO20070710,GOMECC,2,1,201,1,2,20070711,720,28.6838,-94.9997,27,17.2,27.398,34.331,2,33.904,4,137.4,2,156.3,3,3.6,2,0.8,2,0.58,2,0.12,2,0.17,2,1.87,2,1.48,2,0.03,2,2105.2,3,2405.9,2,352.1,2,20,97.8,2,27.394
  33RO20070710,GOMECC,2,1,203,3,2,20070711,721,28.6838,-94.9997,27,17.1,27.48,34.172,2,-999,9,136.8,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,27.476
  33RO20070710,GOMECC,2,1,204,4,2,20070711,724,28.6838,-94.9997,27,10.4,28.743,32.214,2,32.144,4,202.5,2,202.8,2,0.9,2,0.5,2,0.03,2,0.1,2,0.17,2,1.99,2,1.71,2,0.22,2,2011.2,2,2377.7,2,248.9,2,20,98.4,2,28.7405
  33RO20070710,GOMECC,2,1,205,5,2,20070711,724,28.6838,-94.9997,27,10.4,28.708,32.282,2,-999,9,202.3,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,28.7055
  33RO20070710,GOMECC,2,1,206,6,2,20070711,726,28.6838,-94.9997,27,4.1,29.335,28.218,2,28.381,4,211.9,2,214.2,2,6.2,2,0,2,0.04,2,0.12,2,0.19,2,4.5,2,1.52,2,0.01,2,1931,3,2306,2,203.5,2,20,165.2,2,29.334
  33RO20070710,GOMECC,2,1,207,7,9,20070711,726,28.6838,-94.9997,27,4.1,29.334,28.219,2,-999,9,211.8,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.333
  33RO20070710,GOMECC,2,1,208,8,9,20070711,726,28.6838,-94.9997,27,4.2,29.336,28.219,2,-999,9,211.8,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.335
  33RO20070710,GOMECC,2,1,209,9,9,20070711,726,28.6838,-94.9997,27,4,29.338,28.221,2,-999,9,212,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.337
  33RO20070710,GOMECC,2,1,210,10,9,20070711,726,28.6838,-94.9997,27,4.2,29.331,28.214,2,-999,9,211.8,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.33
  33RO20070710,GOMECC,2,1,211,11,9,20070711,726,28.6838,-94.9997,27,4.1,29.328,28.213,2,-999,9,212,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.327
  33RO20070710,GOMECC,2,1,212,12,9,20070711,726,28.6838,-94.9997,27,4.1,29.328,28.213,2,-999,9,211.9,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.327
