BOTTLE,20061130WHPSIODBK
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20061129
#original HYD file: a21hy.txt   Thu Nov 30 10:52:18 2006
#original SUM file: a21su.txt   Thu Nov 30 10:48:33 2006
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,HELIER,TRITER,NEONER,DELHER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,ITS-90,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,NMOL/KG,,UMOL/KG,,UATM,,NMOL/KG,TU,NMOL/KG,PERCNT
      06MT11_5,   A21,   102,  1,     17,   -999,2,19900124,0709,-56.3300, -67.9950,  103,     10.0,   9.7494,  33.3537,2,  33.3580,2,   -999.0,9,  9.7483,    292.3,2,     1.97,2,     6.17,2,     0.22,2,     0.77,2,    3.581,3,    1.435,3,    0.274,2,   1.7170,2,    -1.40,2,   7.327,2,   1997.8,2,   -999.0,5,  0.0034,   0.017,   0.021,   0.200
      06MT11_5,   A21,   102,  1,      7,   -999,2,19900124,0709,-56.3300, -67.9950,  103,     25.5,   9.7364,  33.3741,2,-999.0000,5,   -999.0,9,  9.7336,   -999.0,5,  -999.00,5,  -999.00,5,  -999.00,5,  -999.00,5, -999.000,9,    1.450,3, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,5,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   102,  1,      8,   -999,2,19900124,0709,-56.3300, -67.9950,  103,     25.5,   9.7364,  33.3741,2,-999.0000,5,   -999.0,9,  9.7336,   -999.0,5,  -999.00,5,  -999.00,5,  -999.00,5,  -999.00,5,    3.562,3,    1.395,3, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,5,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   102,  1,      9,   -999,2,19900124,0709,-56.3300, -67.9950,  103,     25.5,   9.7364,  33.3741,2,-999.0000,5,   -999.0,9,  9.7336,   -999.0,5,  -999.00,5,  -999.00,5,  -999.00,5,  -999.00,5, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,5,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   102,  1,     16,   -999,2,19900124,0709,-56.3300, -67.9950,  103,     25.5,   9.7364,  33.3741,2,-999.0000,5,   -999.0,9,  9.7336,    292.7,2,     1.69,2,     6.39,2,     0.22,2,     0.75,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,5,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   102,  1,     10,   -999,2,19900124,0709,-56.3300, -67.9950,  103,     25.5,   9.7364,  33.3741,2,-999.0000,5,   -999.0,9,  9.7336,   -999.0,5,  -999.00,5,  -999.00,5,  -999.00,5,  -999.00,5,    3.582,3,    1.418,3, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,5,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   102,  1,     15,   -999,2,19900124,0709,-56.3300, -67.9950,  103,     25.5,   9.7364,  33.3741,2,-999.0000,5,   -999.0,9,  9.7336,   -999.0,5,  -999.00,5,  -999.00,5,  -999.00,5,  -999.00,5,    3.594,3,    1.389,3, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,5,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   102,  1,      6,   -999,2,19900124,0709,-56.3300, -67.9950,  103,     25.5,   9.7364,  33.3741,2,-999.0000,5,   -999.0,9,  9.7336,   -999.0,5,  -999.00,5,  -999.00,5,  -999.00,5,  -999.00,5,    3.522,3,    1.382,3, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,5,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   102,  1,     14,   -999,2,19900124,0709,-56.3300, -67.9950,  103,     25.5,   9.7364,  33.3741,2,-999.0000,5,   -999.0,9,  9.7336,   -999.0,5,  -999.00,5,  -999.00,5,  -999.00,5,  -999.00,5,    3.571,3,    1.410,3, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,5,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   102,  1,     13,   -999,2,19900124,0709,-56.3300, -67.9950,  103,     25.5,   9.7364,  33.3741,2,-999.0000,5,   -999.0,9,  9.7336,   -999.0,5,  -999.00,5,  -999.00,5,  -999.00,5,  -999.00,5,    3.633,3,    1.416,3, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,5,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   102,  1,     11,   -999,2,19900124,0709,-56.3300, -67.9950,  103,     25.5,   9.7364,  33.3741,2,-999.0000,5,   -999.0,9,  9.7336,   -999.0,5,  -999.00,5,  -999.00,5,  -999.00,5,  -999.00,5, -999.000,9,    1.425,3, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,5,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   102,  1,     12,   -999,2,19900124,0709,-56.3300, -67.9950,  103,     25.5,   9.7364,  33.3741,2,-999.0000,5,   -999.0,9,  9.7336,   -999.0,5,  -999.00,5,  -999.00,5,  -999.00,5,  -999.00,5,    3.603,3, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   2002.2,2,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   102,  1,      5,   -999,2,19900124,0709,-56.3300, -67.9950,  103,     36.5,   9.5806,  33.4567,2,-999.0000,5,   -999.0,9,  9.5766,    286.7,2,     2.11,2,     8.91,2,     0.22,2,     1.42,3,    3.672,3,    1.422,3, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   2023.8,2,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   102,  1,      4,   -999,2,19900124,0709,-56.3300, -67.9950,  103,     56.2,   9.2389,  33.6722,2,  33.6750,2,   -999.0,9,  9.2328,    300.7,2,     1.59,2,    10.66,2,     0.22,2,     0.97,2,    3.715,3,    1.797,3,    0.227,2,   1.7154,2,    -1.60,2,   7.299,2,   2029.1,2,   -999.0,5,  0.0034,   0.014,   0.020,   0.200
      06MT11_5,   A21,   102,  1,      3,   -999,2,19900124,0709,-56.3300, -67.9950,  103,     75.1,   8.9232,  33.7615,2,  33.7650,2,   -999.0,9,  8.9153,    299.5,2,     1.54,2,    12.07,2,     0.21,2,     1.06,2,    3.775,3,    1.467,3, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   2042.1,2,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   102,  1,      1,   -999,2,19900124,0709,-56.3300, -67.9950,  103,     92.0,   7.9981,  34.5279,2,-999.0000,5,   -999.0,9,  7.9889,   -999.0,5,  -999.00,5,  -999.00,5,  -999.00,5,  -999.00,5, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,5,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
