BOTTLE,20030520WHPSIOSA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: May 20, 2003
#original HYD file: a09hy.txt   Tue May 20 10:08:58 2003
#original SUM file: a09su.txt   Fri Nov  3 15:46:48 2000
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,ALKALI,ALKALI_FLAG_W,C14ERR,HELIER,DELHER,NEONER,THETA,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,NMOL/KG,,UMOL/KG,,UATM,,UMOL/KG,,,NMOL/KG,PERCNT,NMOL/KG,ITS-90,TU
      06MT15_3,   A09,   122,  1,      1,    324,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9150,2,    254.2,2,    253.5,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.086,2,    0.000,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,      2,    323,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9140,2,   -999.0,9,    254.5,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.017,2,    0.001,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,      3,    322,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9150,2,    254.2,2,    253.0,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.109,2,   -0.004,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,      4,    321,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9150,2,   -999.0,9,    254.0,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.008,2,   -0.004,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,      5,    320,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9160,2,    254.2,2,    254.3,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.007,2,   -0.001,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,      6,    319,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9150,2,   -999.0,9,    255.0,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.092,2,   -0.001,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,      7,    318,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9140,2,    254.2,2,    254.5,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.005,2,   -0.005,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,      8,    317,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9140,2,   -999.0,9,    252.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.003,2,   -0.002,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,      9,    316,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9140,2,    254.2,2,    253.6,2,    32.19,2,    20.45,2,  -999.00,9,  -999.00,9,    0.010,2,   -0.004,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,     10,    315,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9140,2,   -999.0,9,    254.4,2,    32.00,2,    20.35,2,  -999.00,9,  -999.00,9,    0.010,2,   -0.001,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,     11,    314,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9150,2,    254.2,2,    255.8,2,    32.00,2,    20.45,2,  -999.00,9,  -999.00,9,    0.001,2,    0.001,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,     12,    313,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9150,2,   -999.0,9,    253.5,2,    31.90,2,    20.35,2,  -999.00,9,  -999.00,9,    0.005,2,    0.000,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,     13,    312,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9140,2,    254.2,2,    254.5,2,    31.90,2,    20.45,2,  -999.00,9,  -999.00,9,    0.126,2,   -0.001,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,     14,    311,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9140,2,   -999.0,9,    254.5,2,    31.70,2,    20.55,2,  -999.00,9,  -999.00,9,    0.000,2,   -0.002,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,     15,    309,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9150,2,    254.2,2,    254.0,2,    31.70,2,    20.45,2,  -999.00,9,  -999.00,9,    0.010,2,   -0.001,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,     16,    308,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9150,2,   -999.0,9,    255.2,2,    31.60,2,    20.55,2,  -999.00,9,  -999.00,9,    0.006,2,   -0.005,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,     17,    307,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9150,2,    254.2,2,    254.4,2,    31.90,2,    20.55,2,  -999.00,9,  -999.00,9,    0.000,2,    0.001,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,     18,    306,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9140,2,   -999.0,9,    253.6,2,    32.19,2,    20.55,2,  -999.00,9,  -999.00,9,   -0.001,2,   -0.003,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,     19,    305,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9150,2,    254.2,2,    246.4,2,    31.70,2,    20.45,2,  -999.00,9,  -999.00,9,    0.001,2,    0.000,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,     20,    304,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9160,2,   -999.0,9,    253.8,2,    31.60,2,    20.45,2,  -999.00,9,  -999.00,9,   -0.003,2,    0.002,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,     21,    303,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9150,2,    254.2,2,    253.9,2,    31.70,2,    20.55,2,  -999.00,9,  -999.00,9,   -0.001,2,    0.000,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,     22,    302,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9150,2,   -999.0,9,    253.3,2,    31.90,2,    20.55,2,  -999.00,9,  -999.00,9,    0.060,3,    0.057,3, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  1,     23,    301,2,19910211,1021,-19.0000, -37.4233, 3513,   2998.0,   2.6299,  34.9159,2,  34.9140,2,    254.2,2,    255.7,2,    32.29,2,    20.65,2,  -999.00,9,  -999.00,9,    0.021,3,    0.036,3, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.3874,-999.000
      06MT15_3,   A09,   122,  2,      1,    224,2,19910211,1339,-19.0050, -37.4300, 3509,      9.0,  28.0681,  37.2923,2,-999.0000,9,   -999.0,9,    198.6,2,     0.10,2,     0.00,2,  -999.00,9,     0.02,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000, 28.0660,-999.000
      06MT15_3,   A09,   122,  2,      2,    222,2,19910211,1339,-19.0050, -37.4300, 3509,     63.0,  25.7721,  37.2360,2,-999.0000,9,    217.6,2,    212.4,2,     0.00,2,     0.00,2,  -999.00,9,     0.04,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000, 25.7580,-999.000
      06MT15_3,   A09,   122,  2,      3,    221,2,19910211,1339,-19.0050, -37.4300, 3509,     99.0,  24.7035,  37.2178,2,-999.0000,9,   -999.0,9,    199.7,2,     0.10,2,     0.00,2,  -999.00,9,     0.09,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000, 24.6820,-999.000
      06MT15_3,   A09,   122,  2,      4,    220,2,19910211,1339,-19.0050, -37.4300, 3509,    147.0,  23.0148,  36.9453,2,-999.0000,9,    206.0,2,    198.9,2,     0.20,2,     0.59,2,  -999.00,9,     0.22,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000, 22.9845,-999.000
      06MT15_3,   A09,   122,  2,      5,    219,2,19910211,1339,-19.0050, -37.4300, 3509,    199.0,  17.9985,  35.9619,2,-999.0000,9,   -999.0,9,    196.9,2,     1.17,2,     3.72,2,  -999.00,9,     0.43,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000, 17.9641,-999.000
      06MT15_3,   A09,   122,  2,      6,    218,2,19910211,1339,-19.0050, -37.4300, 3509,    249.0,  15.7924,  35.5714,2,-999.0000,9,    198.6,2,    200.4,2,     1.76,2,     5.97,2,  -999.00,9,     0.58,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000, 15.7531,-999.000
      06MT15_3,   A09,   122,  2,      7,    217,2,19910211,1339,-19.0050, -37.4300, 3509,    298.0,  14.4541,  35.3497,2,-999.0000,9,   -999.0,9,    194.4,2,     2.93,2,     9.10,2,  -999.00,9,     0.78,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000, 14.4098,-999.000
