BOTTLE,20030319WHPSIOSA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: March 19, 2003
#original HYD file: a08hy.txt   Wed Mar 19 10:27:03 2003
#original SUM file: a08su.txt   Fri Feb 12 12:52:56 1999
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,NEON,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,CTDRAW,HELIER,DELHER,NEONER,NEONER_FLAG_W,THETA,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,NMOL/KG,UMOL/KG,,PPM@EQ,,,NMOL/KG,PERCNT,NMOL/KG,,ITS-90,TU
      06MT28_1,   A08,   165,  1,     14,    324,2,19940330,0328, -8.2740, -33.4628, 4600,     11.0,  28.5867,  36.6158,2,  36.6158,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,      8,-999.0000,-999.000,-999.000,9, 28.5841,-999.000
      06MT28_1,   A08,   165,  1,     27,    301,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8325,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     28,    302,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8311,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     29,    303,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8301,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     30,    304,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8430,4,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     31,    305,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8317,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     32,    306,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8318,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     33,    307,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8303,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     34,    308,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8286,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     35,    309,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8041,4,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,     36,    310,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8296,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
      06MT28_1,   A08,   165,  1,      1,    311,2,19940330,0328, -8.2740, -33.4628, 4600,   4004.8,   1.7927,  34.8294,2,  34.8289,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.4641,-999.000
