BOTTLE,20090911PRINUNIVRMK
# 2/10/2000 Initialized this README file
# Original data file received from D. Chipman (LDEO) 6/87
# Ship: RV Knorr
# Dates: Oct. 7, 1983 - Feb. 19,1984
# 	Leg 1: Oct. 7 - Nov. 6",1983
# 	Leg 2: Jan. 11 - Feb. 19",1994
# Chief Scientist: J. Reid (SIO, leg 1) & W. Nowlin (TAMU, leg 2)
# Cruise: AJAX Expedition 
# EXPOCODE: 316N19831007
# Region: Southeastern Atlantic and Northern Weddell Sea
# Line Designation: A13.5 & SR04
#  137 full depth stations;  with 24 place Rosette 
#  All data flags set to 2 or 9 for file compatibility, no QC
# Hydro: Who - PACODF; Status - final
# 	Notes: See Nierenberg and Nowlin"," 1985.
# Nuts/O2: Who - PACODF; Status - final 
# 	Notes: See Nierenberg and Nowlin"," 1985.
# TCO2: Who - T. Takahashi/D. Chipman; Status - final
# 	Notes: See Chipman et al.,1986
# TA: Who - T. Takahashi/D. Chipman; Status - final
# 	Notes: Calculated from pCO2 and TCO2 by PI
# 	See Chipman et al.",1986
# pCO2 UATM: Who - T. Takahashi/D. Chipman; Status - final
# 	Notes: Measured by GC after poisoning and equilibration 
# 		to temperature of 20C. Precision estimated at 0.2%
# 	See Chipman et al.",1986
# CFC: Who - R. Weiss/J. Bullister; Status - final
# 	Notes: See Weiss et al.",1990
# Other: Ra-228/Ra-226 ratio only - W. Moore
# 	Pb - E. Boyle", no data in file
# 	Trace Metals - E. Boyle", no data in file
# 	Rare Earths - G. Wasserburg", no data in file
# 	Nd. Isotopes - G. Wasserburg", no data in file
# 	Photo. Pigments - J. Brooks", no data in file
# References: 
# Nierenberg, W.A. and W.D. Nowlin, Physical, chemical and in-situ CTD data from the AJAX Expedition in the South Atlantic Ocean aboard RV Knorr, SIO Reference 85-24, TAMU Reference 85-4-D, 275pp, 15 December 1985. 
# Chipman, D.W., T. Takahashi and S.C. Sutherland, Carbon chemistry of the South Atlantic Ocean and the Weddell Sea: The results of the Atlantic Long Lines (AJAX) expeditions, October, 1983 - February,1985, LDGO, 185pp, December 1986.
# Weiss, R.F., J.L. Bullister, M.J. Warner, F.A. Van Woy and P.K. Salameh, Ajax Expedition chlorofluorocarbon measurements, SIO Reference 90-6, 190pp, June 1990.
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,RA-8/6,RA-8/6E,RA-8/6_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEGC,,,,DEGC
  316N19831007, A13.5,1,1,25,2,19831007,0,4.828,-3.963,1580,1,26.011,35.159,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1969.8,2,2312,2,276,2,20,-999,-999,9,26.0108
  316N19831007, A13.5,1,1,26,2,19831007,0,4.828,-3.963,1580,1,26.01,35.158,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1969.8,2,2313,2,275,2,20,-999,-999,9,26.0098
  316N19831007, A13.5,1,1,27,2,19831007,0,4.828,-3.963,1580,1,26.013,35.157,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,26.0128
  316N19831007, A13.5,1,1,28,2,19831007,0,4.828,-3.963,1580,1,26.012,35.158,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,26.0118
  316N19831007, A13.5,1,1,29,2,19831007,0,4.828,-3.963,1580,1,26.002,35.161,2,174,2,1.5,2,0,2,-999,9,0.14,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,26.0018
  316N19831007, A13.5,1,1,30,2,19831007,0,4.828,-3.963,1580,27,23.028,35.574,2,140,2,2.6,2,5.3,2,-999,9,0.48,2,1.177,2,0.598,2,-999,9,-999,9,-999,9,-999,-999,-999,9,23.0225
  316N19831007, A13.5,1,1,31,2,19831007,0,4.828,-3.963,1580,49,18.054,35.842,2,138,2,4.6,2,11.7,2,-999,9,0.88,2,1.137,2,0.531,2,-999,9,-999,9,-999,9,-999,-999,-999,9,18.0455
  316N19831007, A13.5,1,1,32,2,19831007,0,4.828,-3.963,1580,67,17.57,35.832,2,127,2,5.3,2,14.2,2,-999,9,1.04,2,0.937,2,0.49,2,-999,9,-999,9,-999,9,-999,-999,-999,9,17.5587
  316N19831007, A13.5,1,1,33,2,19831007,0,4.828,-3.963,1580,88,16.458,35.689,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,16.4438
  316N19831007, A13.5,1,1,34,2,19831007,0,4.828,-3.963,1580,106,16.028,35.652,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,16.0112
  316N19831007, A13.5,1,1,35,2,19831007,0,4.828,-3.963,1580,157,14.741,35.515,2,107,2,8.5,2,20.2,2,-999,9,1.4,2,0.673,2,0.321,2,-999,9,-999,9,-999,9,-999,-999,-999,9,14.7174
  316N19831007, A13.5,1,1,36,2,19831007,0,4.828,-3.963,1580,207,13.706,35.374,2,79,2,10.4,2,24.8,2,-999,9,1.62,2,0.397,2,0.204,2,-999,9,-999,9,-999,9,-999,-999,-999,9,13.6764
  316N19831007, A13.5,1,1,37,2,19831007,0,4.828,-3.963,1580,255,11.536,35.122,2,54,2,14.3,2,31.6,2,-999,9,2.01,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,9,11.5034
  316N19831007, A13.5,1,1,38,2,19831007,0,4.828,-3.963,1580,305,10.117,34.958,2,55,2,16.6,2,34.2,2,-999,9,2.16,2,-999,9,0.038,2,-999,9,-999,9,-999,9,-999,-999,-999,9,10.0812
  316N19831007, A13.5,1,1,39,2,19831007,0,4.828,-3.963,1580,380,8.854,34.83,2,62,2,19.2,2,35.8,2,-999,9,2.28,2,0.038,2,0.025,2,-999,9,-999,9,-999,9,-999,-999,-999,9,8.8128
