BOTTLE,20030219WHPSIOdm
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20030219
#original HYD file: p06ehy.txt   Wed Feb 19 09:07:11 2003
#original SUM file: p06esu.txt   Tue Sep 25 12:35:11 2001
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,C14ERR,HELIER,DELHER,NEONER,THETA,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,UMOL/KG,,UATM,,DEG_C,/MILLE,NMOL/KG,PERCNT,NMOL/KG,ITS-90,TU
     316N138_3,  P06E,     3,  1,     36,    136,2,19920504,0822,-32.5013, -71.6677, 5817,      9.8,  17.0016,-999.0000,9,  34.4023,2,   -999.0,9,    241.5,2,     0.59,2,     0.69,2,     0.09,2,     0.54,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,     70.8,2,     2.11,2,-999.000,9,   -999.0,9,   -999.0,9, -999.00,     3.2,-999.0000,-999.000,-999.000, 17.0000,-999.000
     316N138_3,  P06E,     3,  1,     35,    135,2,19920504,0822,-32.5013, -71.6677, 5817,     20.4,  16.9889,-999.0000,9,  34.3998,2,   -999.0,9,    241.0,2,     0.59,2,     0.69,2,     0.11,2,     0.54,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,     71.8,2,     2.13,2,-999.000,9,   -999.0,9,   -999.0,9, -999.00,     4.3,-999.0000,-999.000,-999.000, 16.9856,-999.000
     316N138_3,  P06E,     3,  1,     34,    134,2,19920504,0822,-32.5013, -71.6677, 5817,     28.6,  16.9464,-999.0000,9,  34.3941,2,   -999.0,9,    242.5,2,     0.59,2,     0.73,2,     0.10,2,     0.55,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,     65.0,6,     2.12,2,-999.000,9,   -999.0,9,   -999.0,9, -999.00,     3.2,-999.0000,-999.000,-999.000, 16.9417,-999.000
     316N138_3,  P06E,     3,  1,     33,    133,2,19920504,0822,-32.5013, -71.6677, 5817,     54.3,  15.6752,-999.0000,9,  34.2138,2,   -999.0,9,    223.1,2,     1.09,2,     7.41,2,     0.53,2,     0.89,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,     78.2,2,     1.70,2,-999.000,9,   -999.0,9,   -999.0,9, -999.00,     4.0,-999.0000,-999.000,-999.000, 15.6668,-999.000
     316N138_3,  P06E,     3,  1,     32,    132,2,19920504,0822,-32.5013, -71.6677, 5817,     78.0,  12.1022,-999.0000,9,  34.1671,2,   -999.0,9,    182.9,2,     3.76,2,    17.15,2,     0.02,2,     1.46,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,     75.6,2,     1.21,2,-999.000,9,   -999.0,9,   -999.0,9, -999.00,     4.5,-999.0000,-999.000,-999.000, 12.0921,-999.000
     316N138_3,  P06E,     3,  1,     31,    131,2,19920504,0822,-32.5013, -71.6677, 5817,    104.6,  11.0307,-999.0000,9,  34.2466,2,   -999.0,9,    146.6,2,     7.94,2,    21.03,2,     0.02,2,     1.81,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,     65.5,2,     0.87,2,-999.000,9,   -999.0,9,   -999.0,9, -999.00,     4.6,-999.0000,-999.000,-999.000, 11.0179,-999.000
     316N138_3,  P06E,     3,  1,     30,    130,2,19920504,0822,-32.5013, -71.6677, 5817,    127.7,  11.1452,-999.0000,9,  34.4218,2,   -999.0,9,     76.5,2,    14.46,2,    24.29,2,     0.01,2,     2.31,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,     36.3,2,     0.39,2,-999.000,9,   -999.0,9,   -999.0,9, -999.00,     3.2,-999.0000,-999.000,-999.000, 11.1295,-999.000
     316N138_3,  P06E,     3,  1,     29,    129,2,19920504,0822,-32.5013, -71.6677, 5817,    153.0,  11.1149,-999.0000,9,  34.5704,2,   -999.0,9,     38.2,2,    20.31,2,    24.45,2,     0.02,2,     2.53,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,      3.3,2,     0.12,2,-999.000,9,   -999.0,9,   -999.0,9, -999.00,     3.9,-999.0000,-999.000,-999.000, 11.0960,-999.000
     316N138_3,  P06E,     3,  1,     28,    128,4,19920504,0822,-32.5013, -71.6677, 5817,    200.0,  10.8198,-999.0000,9,  34.3815,4,   -999.0,9,    216.4,4,     2.76,4,     4.97,4,     0.11,4,     0.84,4, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,     66.2,4,     1.83,4,-999.000,9,   -999.0,9,   -999.0,9, -999.00,     3.3,-999.0000,-999.000,-999.000, 10.7956,-999.000
