BOTTLE,20030219WHPSIOdm
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20030219
#original HYD file: p06why.txt   Wed Feb 19 09:23:35 2003
#original SUM file: p06wsu.txt   Tue Sep 25 11:48:55 2001
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,C14ERR,HELIER,DELHER,NEONER,THETA,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,UMOL/KG,,UATM,,DEG_C,/MILLE,NMOL/KG,PERCNT,NMOL/KG,ITS-90,TU
     316N138_5,  P06W,   190,  1,     35,9454,2,19920714,1708,-31.0850, 177.5440, 4136,     12.2,  17.1153,  35.5737,2,  35.5701,2,    238.5,2,    237.1,2,     1.51,2,     1.12,2,     0.11,2,     0.20,2,    2.508,2,    1.340,2, -999.000,5,   1.7840,2,    -1.09,2,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,   0.150,-999.000, 17.1132,-999.000
     316N138_5,  P06W,   190,  1,     36,1385,2,19920714,1708,-31.0850, 177.5440, 4136,     12.6,  17.1179,  35.5711,2,  35.5715,2,    238.5,2,    236.7,2,     1.33,2,     1.11,2,     0.12,2,     0.20,2,    2.519,2,    1.370,2, -999.000,5,   1.7850,2,    -1.33,2,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,   0.150,-999.000, 17.1158,-999.000
     316N138_5,  P06W,   190,  1,     34,9457,2,19920714,1708,-31.0850, 177.5440, 4136,     52.2,  17.0575,  35.5965,2,  35.5896,2,    229.3,2,    234.3,2,     1.51,2,     1.41,2,     0.17,2,     0.24,2,    2.493,2,    1.304,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000, 17.0488,-999.000
     316N138_5,  P06W,   190,  1,     33,1384,2,19920714,1708,-31.0850, 177.5440, 4136,    102.2,  16.5241,  35.5279,2,  35.5369,2,    227.7,2,    219.5,2,     2.08,2,     3.52,2,     0.12,2,     0.37,2,    2.433,2,    1.291,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000, 16.5076,-999.000
     316N138_5,  P06W,   190,  1,     32,9510,2,19920714,1708,-31.0850, 177.5440, 4136,    152.6,  15.3640,  35.4101,2,  35.3888,2,    204.3,2,    206.9,2,     2.84,2,     6.74,2,     0.00,2,     0.59,2, -999.000,5, -999.000,5, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000, 15.3405,-999.000
     316N138_5,  P06W,   190,  1,     31,9453,2,19920714,1708,-31.0850, 177.5440, 4136,    203.0,  14.5101,  35.3152,2,  35.3088,2,    202.0,2,    199.0,2,     3.59,2,     9.01,2,     0.00,2,     0.71,2,    2.131,2,    1.114,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000, 14.4800,-999.000
     316N138_5,  P06W,   190,  1,     30,9456,2,19920714,1708,-31.0850, 177.5440, 4136,    252.9,  13.6396,  35.2243,2,  35.2197,2,    197.6,2,    198.2,2,     4.35,2,    10.32,2,     0.00,2,     0.81,2,    2.082,2,    1.067,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000, 13.6036,-999.000
     316N138_5,  P06W,   190,  1,     29,9458,2,19920714,1708,-31.0850, 177.5440, 4136,    303.2,  12.5496,  35.0839,2,  35.0868,2,    200.3,2,    194.9,2,     5.30,2,    12.64,2,     0.00,2,     0.95,2,    1.915,2,    0.976,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000, 12.5086,-999.000
     316N138_5,  P06W,   190,  1,     28,9454,2,19920714,1708,-31.0850, 177.5440, 4136,    352.8,  11.7968,  35.0028,2,  35.0028,2,    193.1,2,    191.3,2,     6.25,2,    14.54,2,     0.00,2,     1.06,2,    1.700,2,    0.871,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000, 11.7510,-999.000
     316N138_5,  P06W,   190,  1,     27,9543,2,19920714,1708,-31.0850, 177.5440, 4136,    402.5,  11.1397,  34.9379,2,  34.9331,2,    192.7,2,    191.0,2,     8.13,2,    16.24,2,     0.00,2,     1.18,2,    1.519,2,    0.770,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000, 11.0892,-999.000
     316N138_5,  P06W,   190,  1,     26,9544,2,19920714,1708,-31.0850, 177.5440, 4136,    462.8,  10.3786,  34.8409,2,  34.8393,2,    192.2,2,    191.3,2,     8.70,2,    17.79,2,     0.00,2,     1.26,2, -999.000,5, -999.000,5, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000, 10.3230,-999.000
     316N138_5,  P06W,   190,  1,     25,9455,2,19920714,1708,-31.0850, 177.5440, 4136,    502.4,   9.6467,  34.7474,2,  34.7528,2,    193.9,2,    194.1,2,     9.08,2,    18.95,2,     0.00,2,     1.40,2,    1.284,2,    0.660,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  9.5889,-999.000
     316N138_5,  P06W,   190,  1,     24,    132,2,19920714,1708,-31.0850, 177.5440, 4136,    612.1,   8.4304,  34.6126,2,  34.6126,2,    200.1,2,    200.5,2,    11.54,2,    21.49,2,     0.00,2,     1.50,2,    0.959,2,    0.497,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  8.3652,-999.000
     316N138_5,  P06W,   190,  1,     23,    123,2,19920714,1708,-31.0850, 177.5440, 4136,    700.9,   7.3880,  34.4983,2,  34.4976,2,    209.0,2,    209.1,2,    12.49,2,    23.14,2,     0.00,2,     1.61,2, -999.000,5, -999.000,5, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  7.3185,-999.000
     316N138_5,  P06W,   190,  1,     22,    128,2,19920714,1708,-31.0850, 177.5440, 4136,    799.0,   6.6678,  34.4602,2,  34.4604,2,    205.2,2,    203.6,2,    18.17,2,    25.23,2,     0.00,2,     1.76,2,    0.439,2,    0.233,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  6.5923,-999.000
     316N138_5,  P06W,   190,  1,     21,    121,2,19920714,1708,-31.0850, 177.5440, 4136,    899.6,   5.8273,  34.4251,2,  34.4257,2,    199.8,2,    197.6,2,    25.73,2,    27.56,2,     0.00,2,     1.91,2,    0.224,2,    0.127,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  5.7474,-999.000
     316N138_5,  P06W,   190,  1,     20,    515,2,19920714,1708,-31.0850, 177.5440, 4136,   1001.3,   5.2184,  34.4239,2,-999.0000,9,    191.9,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,5, -999.000,5, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  5.1335,-999.000
     316N138_5,  P06W,   190,  1,     19,    120,2,19920714,1708,-31.0850, 177.5440, 4136,   1102.5,   4.7962,  34.4514,2,  34.4506,2,    182.8,2,    182.3,2,    44.46,2,    30.48,2,     0.00,2,     2.13,2,    0.097,2,    0.052,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  4.7054,-999.000
     316N138_5,  P06W,   190,  1,     18,    118,2,19920714,1708,-31.0850, 177.5440, 4136,   1202.9,   4.1637,  34.4626,2,  34.4628,2,    177.1,2,    176.6,2,    54.67,2,    31.84,2,     0.00,2,     2.23,2,    0.041,2,    0.029,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  4.0694,-999.000
     316N138_5,  P06W,   190,  1,     17,    514,2,19920714,1708,-31.0850, 177.5440, 4136,   1305.4,   3.8197,  34.5036,2,  34.5023,2,    170.7,2,    170.0,2,    66.58,2,    32.57,2,     0.00,2,     2.29,2,    0.036,2,    0.023,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  3.7197,-999.000
     316N138_5,  P06W,   190,  1,     16,    116,2,19920714,1708,-31.0850, 177.5440, 4136,   1406.3,   3.5720,  34.5528,2,  34.5535,2,    165.8,2,    164.4,2,    78.11,2,    32.92,2,     0.00,2,     2.32,2,    0.039,2,    0.024,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  3.4659,-999.000
     316N138_5,  P06W,   190,  1,     15,    115,2,19920714,1708,-31.0850, 177.5440, 4136,   1498.5,   3.2424,  34.5671,2,  34.5677,2,    162.9,2,    161.1,2,    85.48,2,    33.41,2,     0.00,2,     2.35,2,    0.022,2,    0.015,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  3.1319,-999.000
     316N138_5,  P06W,   190,  1,     14,    513,2,19920714,1708,-31.0850, 177.5440, 4136,   1600.1,   2.9666,  34.5880,2,  34.5861,2,    160.1,2,    159.3,2,    92.28,2,    33.85,2,     0.00,2,     2.38,2,    0.017,2,    0.012,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  2.8507,-999.000
     316N138_5,  P06W,   190,  1,     13,    125,2,19920714,1708,-31.0850, 177.5440, 4136,   1803.0,   2.6384,  34.6089,2,  34.6089,2,    156.8,2,    155.8,2,   101.91,2,    34.45,2,     0.00,2,     2.44,2,    0.015,2,    0.009,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  2.5095,-999.000
     316N138_5,  P06W,   190,  1,     12,    112,2,19920714,1708,-31.0850, 177.5440, 4136,   2006.8,   2.3457,  34.6351,2,  34.6331,2,    154.7,2,    153.8,2,   110.41,2,    34.79,2,     0.00,2,     2.46,2,    0.010,2,    0.017,4, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  2.2035,-999.000
