BOTTLE,20020807WHPSIOdm
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20020807
#original HYD file: p16ahy.txt   Tue Aug  6 13:38:08 2002
#original SUM file: p16asu.txt   Tue Aug  6 10:10:24 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,C14ERR,HELIER,DELHER,NEONER,THETA,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,UMOL/KG,,UATM,,DEG_C,/MILLE,NMOL/KG,PERCNT,NMOL/KG,DEG C,TU
     316N138_9,     x,     1,  1,      1,      1,2,19921008,0402,-21.4932,-148.4938, 4454,      3.9,  26.2728,  36.1059,2,  36.1057,2,    207.6,2,    204.6,2,     2.79,2,     0.12,2,     0.00,2,     0.19,2,    1.764,6,    0.970,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2001.2,2,    245.0,2,   20.00,  -999.0,-999.0000,-999.000,-999.000, 26.2719,-999.000
     316N138_9,     x,     1,  1,      2,      2,2,19921008,0402,-21.4932,-148.4938, 4454,     43.9,  25.8470,  36.0964,2,  36.0968,2,    200.9,2,    205.0,2,     2.78,2,     0.07,2,     0.00,2,     0.18,2,    1.777,3,    0.968,3, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2005.3,2,    258.0,2,   20.00,  -999.0,-999.0000,-999.000,-999.000, 25.8372,-999.000
     316N138_9,     x,     1,  1,      3,      3,2,19921008,0402,-21.4932,-148.4938, 4454,     78.2,  24.6776,  35.9992,2,  35.9951,2,    207.9,2,    208.5,2,     2.53,2,     0.06,2,     0.00,2,     0.14,2,    1.895,2,    1.015,3, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2006.5,2,    275.2,2,   20.00,  -999.0,-999.0000,-999.000,-999.000, 24.6608,-999.000
     316N138_9,     x,     1,  1,      4,      4,2,19921008,0402,-21.4932,-148.4938, 4454,    109.5,  23.5679,  35.9274,2,  35.9286,2,    203.5,2,    211.3,2,     2.28,2,     0.06,2,     0.00,2,     0.15,2,    1.949,2,    1.050,3, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2008.7,2,    269.2,2,   20.00,  -999.0,-999.0000,-999.000,-999.000, 23.5450,-999.000
     316N138_9,     x,     1,  1,      5,      5,2,19921008,0402,-21.4932,-148.4938, 4454,    134.3,  22.9494,  35.8547,2,  35.8491,2,    204.0,2,    204.4,2,     2.27,2,     0.05,2,     0.00,2,     0.19,2, -999.000,5, -999.000,5, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2016.2,2,    287.9,2,   20.00,  -999.0,-999.0000,-999.000,-999.000, 22.9219,-999.000
     316N138_9,     x,     1,  1,      6,      6,2,19921008,0402,-21.4932,-148.4938, 4454,    159.4,  21.8264,  35.8027,2,  35.8002,2,    199.2,2,    195.0,2,     2.26,2,     0.77,2,     0.03,2,     0.25,2,    1.977,2,    1.035,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2033.4,2,    311.6,2,   20.00,  -999.0,-999.0000,-999.000,-999.000, 21.7949,-999.000
     316N138_9,     x,     1,  1,      7,      7,2,19921008,0402,-21.4932,-148.4938, 4454,    183.5,  21.1073,  35.7272,2,  35.7142,2,    205.4,2,    198.1,2,     2.25,2,     0.79,2,     0.06,2,     0.23,2, -999.000,5, -999.000,5, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2031.8,2,    320.6,2,   20.00,  -999.0,-999.0000,-999.000,-999.000, 21.0719,-999.000
     316N138_9,     x,     1,  1,      8,      8,2,19921008,0402,-21.4932,-148.4938, 4454,    209.8,  20.0639,  35.6347,2,  35.6263,2,    201.6,2,    197.8,2,     2.24,2,     1.30,2,     0.02,2,     0.24,2,    2.050,3,    1.077,3, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000, 20.0249,-999.000
     316N138_9,     x,     1,  1,      9,      9,2,19921008,0402,-21.4932,-148.4938, 4454,    259.3,  18.5284,  35.5288,2,  35.5534,2,    199.8,2,    197.2,2,     2.23,2,     2.05,2,     0.01,2,     0.30,2, -999.000,5, -999.000,5, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,    361.1,2,   20.00,  -999.0,-999.0000,-999.000,-999.000, 18.4828,-999.000
