BOTTLE,20020807WHPSIOdm
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20020807
#original HYD file: p17ehy.txt   Wed Aug  7 10:12:17 2002
#original SUM file: p17esu.txt   Wed Aug  7 08:58:31 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,C14ERR,HELIER,DELHER,NEONER,THETA,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,UMOL/KG,,UATM,,DEG C,/MILLE,NMOL/KG,PERCNT,NMOL/KG,DEG C,TU
    316N138_10,  P17E,   128,  1,      1,      1,2,19921214,0602,-52.5005,-134.9928, 4336,      3.1,   7.6015,  34.3657,2,  34.3660,2,    389.9,3,    317.7,2,     1.51,2,    13.22,2,     0.19,2,     0.90,2, -999.000,9, -999.000,9, -999.000,5,   1.8080,2,    -1.72,2,   -999.0,9,   -999.0,9,   7.580,2,   2076.5,2,    255.1,2,    4.00,  -999.0,  0.0027,   0.150,   0.027,  7.6012,-999.000
    316N138_10,  P17E,   128,  1,      2,      2,2,19921214,0602,-52.5005,-134.9928, 4336,     29.8,   7.4745,  34.3706,2,  34.3704,2,    376.5,3,    317.9,2,     1.51,2,    13.27,2,     0.18,2,     0.91,2,    4.126,6,    2.090,6,    0.365,2,   1.8050,2,    -1.39,2,   -999.0,9,   -999.0,9,   7.579,2,   2078.1,2,    258.8,2,    4.00,  -999.0,  0.0030,   0.140,   0.020,  7.4717,   0.008
    316N138_10,  P17E,   128,  1,      3,      3,2,19921214,0602,-52.5005,-134.9928, 4336,     59.6,   7.1746,  34.3946,2,  34.3951,2,    308.5,3,    296.4,2,     2.16,2,    15.28,2,     0.19,2,     1.16,2,    4.058,3,    2.121,2,    0.380,2,   1.8092,2,    -1.65,2,   -999.0,9,   -999.0,9,   7.589,2,   2104.1,2,    296.3,2,    4.00,  -999.0,  0.0000,   0.130,   0.046,  7.1690,   0.007
    316N138_10,  P17E,   128,  1,      4,      4,2,19921214,0602,-52.5005,-134.9928, 4336,     89.3,   6.9520,  34.3988,2,  34.3982,2,    291.2,3,    292.6,2,     4.53,2,    16.49,2,     0.19,2,     1.25,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2108.0,2,    310.1,2,    4.00,  -999.0,-999.0000,-999.000,-999.000,  6.9438,-999.000
    316N138_10,  P17E,   128,  1,      5,      5,2,19921214,0602,-52.5005,-134.9928, 4336,    129.9,   6.8649,  34.4022,2,  34.4016,2,    285.0,2,    288.1,2,     6.03,2,    17.09,2,     0.22,2,     1.31,2,    3.997,2,    2.018,2, -999.000,5,   1.8112,2,    -1.56,2,   -999.0,9,   -999.0,9,   7.634,2,   2111.6,2,    320.3,2,    4.00,  -999.0,  0.0000,   0.130,   0.042,  6.8531,-999.000
    316N138_10,  P17E,   128,  1,      6,      6,2,19921214,0602,-52.5005,-134.9928, 4336,    159.8,   6.7614,  34.3914,2,  34.3908,2,    289.1,2,    287.2,2,     6.67,2,    17.61,2,     0.23,2,     1.34,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2110.9,2,    319.8,2,    4.00,  -999.0,-999.0000,-999.000,-999.000,  6.7469,-999.000
    316N138_10,  P17E,   128,  1,      7,      7,2,19921214,0602,-52.5005,-134.9928, 4336,    189.3,   6.7126,  34.3841,2,  34.3863,2,    282.8,2,    287.8,2,     7.32,2,    17.82,2,     0.23,2,     1.35,2,    3.978,2,    2.032,2, -999.000,5,   1.8186,2,    -1.75,2,   -999.0,9,   -999.0,9,   7.647,2,   2114.4,2,    322.5,2,    4.00,  -999.0,  0.0000,   0.150,   0.035,  6.6955,-999.000
    316N138_10,  P17E,   128,  1,      8,      8,2,19921214,0602,-52.5005,-134.9928, 4336,    248.8,   6.5052,  34.3552,2,  34.3555,2,    290.4,2,    272.6,2,     8.39,2,    20.15,2,     0.02,2,     1.47,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2120.5,2,    340.3,2,    4.00,  -999.0,-999.0000,-999.000,-999.000,  6.4830,-999.000
    316N138_10,  P17E,   128,  1,      9,      9,2,19921214,0602,-52.5005,-134.9928, 4336,    306.2,   6.4251,  34.3494,2,  34.3492,2,    295.2,2,    270.9,2,     9.03,2,    20.47,2,     0.01,2,     1.48,2,    3.469,2,    1.737,2,    0.325,2,   1.8171,2,    -1.02,2,   -999.0,9,   -999.0,9,   7.630,2,   2122.8,2,    344.2,2,    4.00,  -999.0,  0.0000,   0.150,   0.022,  6.3978,   0.008
