BOTTLE,20020813WHPSIOdm
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20020813
#original HYD file: p19chy.txt   Tue Aug 13 13:37:20 2002
#original SUM file: p19csu.txt   Tue Aug 13 13:37:43 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,C14ERR,HELIER,DELHER,NEONER,THETA,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,UMOL/KG,,UATM,,DEG C,/MILLE,NMOL/KG,PERCNT,NMOL/KG,DEG C,TU
    316N138_12,  P19C,   234,  1,     76,     76,3,19930223,1609,-53.0375, -74.9138,  126,      2.4,  11.4164,  31.3495,2,  31.2499,4,    304.0,2,    288.4,4,     1.30,4,     2.74,4,     0.33,4,     0.61,4, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   1887.4,2,    208.7,2,    4.00,  -999.0,-999.0000,-999.000,-999.000, 11.4161,-999.000
    316N138_12,  P19C,   234,  1,     75,     75,2,19930223,1609,-53.0375, -74.9138,  126,     27.3,  10.3987,  33.6062,2,  33.6051,2,    290.8,2,    271.5,2,     1.87,2,     9.58,2,     0.24,2,     0.93,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000, 10.3955,-999.000
    316N138_12,  P19C,   234,  1,     70,     70,2,19930223,1609,-53.0375, -74.9138,  126,     44.0,  10.0059,  33.6981,2,  33.6982,2,    287.9,2,    270.8,2,     1.89,2,    11.06,2,     0.22,2,     0.99,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2050.4,2,    265.9,2,    4.00,  -999.0,-999.0000,-999.000,-999.000, 10.0009,-999.000
    316N138_12,  P19C,   234,  1,     71,     71,2,19930223,1609,-53.0375, -74.9138,  126,     44.4,  10.0059,  33.6979,2,-999.0000,9,    288.1,2,    270.7,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000, 10.0008,-999.000
    316N138_12,  P19C,   234,  1,     72,     72,2,19930223,1609,-53.0375, -74.9138,  126,     45.7,   9.9959,  33.7005,2,-999.0000,9,    288.1,2,    270.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  9.9907,-999.000
    316N138_12,  P19C,   234,  1,     73,     73,2,19930223,1609,-53.0375, -74.9138,  126,     46.2,   9.9959,  33.6993,2,-999.0000,9,    288.1,2,    270.7,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  9.9906,-999.000
    316N138_12,  P19C,   234,  1,     74,     74,2,19930223,1609,-53.0375, -74.9138,  126,     48.2,   9.9269,  33.7169,2,-999.0000,9,    287.8,2,    270.7,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  9.9214,-999.000
    316N138_12,  P19C,   234,  1,     52,     52,9,19930223,1609,-53.0375, -74.9138,  126,     53.3,   9.7979,  33.7433,2,-999.0000,9,    283.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  9.7920,-999.000
    316N138_12,  P19C,   234,  1,     53,     53,2,19930223,1609,-53.0375, -74.9138,  126,     53.7,   9.7979,  33.7432,2,-999.0000,9,    283.8,2,    272.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9, -999.00,  -999.0,-999.0000,-999.000,-999.000,  9.7919,-999.000
