BOTTLE,20020814WHPOSA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: Aug. 14, 2002
#original HYD file: i08shy.txt   Wed Aug 14 15:04:34 2002
#original SUM file: i08ssu.txt   Wed Jun 16 11:13:01 1999
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,LCAT,LCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,ALKALI,ALKALI_FLAG_W,CTDRAW,C14ERR,HELIER,DELHER,NEONER,THETA
,,,,,,,,,,,,DBAR,IPTS-68,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,UMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,UMOL/KG,,UATM,,UMOL/KG,,,/MILLE,NMOL/KG,PERCNT,NMOL/KG,IPTS-68
     316N145_5,  I08S,     4,  1,     36, 001,2,19941205,0313,-30.3000,  94.9945, 1945,      9.8,  21.1028,  35.9364,1,  35.9408,2,    244.1,1,    224.5,2,     1.02,2,     0.12,2,     0.00,2,     0.12,2,    2.247,2,    1.262,2, -999.000,5,   1.7530,5,    -1.42,2,    112.2,2,   -999.0,9,   7.085,2,   2039.2,6,   -999.0,5,   -999.0,9,  147.4,     3.8,  0.0020,   0.130,   0.036, 21.1009
     316N145_5,  I08S,     4,  1,     35, 019,2,19941205,0313,-30.3000,  94.9945, 1945,     54.7,  19.8913,  35.9424,1,  35.9437,2,    241.4,1,    232.9,2,     1.04,2,     0.15,2,     0.00,2,     0.14,2,    2.451,2,    1.307,2, -999.000,5,-999.0000,5,  -999.00,9,    100.4,2,      1.3,2,-999.000,9,   2047.5,2,   -999.0,5,   -999.0,9,  594.4,     4.4,-999.0000,-999.000,-999.000, 19.8812
     316N145_5,  I08S,     4,  1,     34, 025,2,19941205,0313,-30.3000,  94.9945, 1945,     79.5,  19.0138,  35.9201,1,  35.9186,2,    242.9,1,    236.7,2,     1.04,2,     0.17,2,     0.00,2,     0.13,2,    2.537,2,    1.373,2, -999.000,5,   1.7670,5,    -1.55,2,    101.2,2,      1.3,2,   7.191,2,   2047.2,2,   -999.0,5,   -999.0,9,  841.2,     3.6,  0.0020,   0.130,   0.047, 18.9995
     316N145_5,  I08S,     4,  1,     33, 004,2,19941205,0313,-30.3000,  94.9945, 1945,    104.6,  18.0026,  35.8631,1,  35.8627,2,    242.2,1,    233.4,2,     1.06,2,     0.19,2,     0.00,2,     0.17,2,    2.672,2,    1.364,2, -999.000,5,   1.7440,5,    -1.69,2,    109.0,2,      1.4,2,   7.123,2,   2057.3,2,   -999.0,5,   2353.1,2, 1090.6,     4.3,  0.0040,   0.160,   0.046, 17.9846
     316N145_5,  I08S,     4,  1,     32, 005,2,19941205,0313,-30.3000,  94.9945, 1945,    155.1,  16.3595,  35.7105,1,  35.7126,2,    231.0,1,    229.8,2,     0.90,2,     0.76,2,     0.15,2,     0.26,2,    2.869,2,    1.429,2, -999.000,5,   1.7310,5,    -1.27,2,    105.3,2,      1.3,2,   7.127,2,   2074.1,2,   -999.0,5,   2342.9,2, 1592.3,     8.6,  0.0020,   0.130,   0.052, 16.3345
     316N145_5,  I08S,     4,  1,     31, 006,2,19941205,0313,-30.3000,  94.9945, 1945,    206.0,  14.8461,  35.5499,1,  35.5541,2,    221.9,1,    221.8,2,     1.44,2,     3.78,2,     0.01,2,     0.45,2,    2.978,6,    1.468,6, -999.000,5,   1.9090,5,     9.38,4,    110.8,2,      1.3,2,   8.214,4,   2088.4,2,   -999.0,5,   2358.7,3, 2098.9,     7.5,  0.0020,   0.130,   0.023, 14.8149
     316N145_5,  I08S,     4,  1,     29, 008,2,19941205,0313,-30.3000,  94.9945, 1945,    255.2,  13.7175,  35.3865,1,  35.3809,2,    222.3,1,    227.1,2,     1.63,2,     5.52,2,     0.01,2,     0.56,2,    3.031,2,    1.523,2, -999.000,5,-999.0000,5,  -999.00,9,    105.4,2,      1.3,2,-999.000,9,   2093.2,2,   -999.0,5,   2325.7,2, 2588.4,     6.1,-999.0000,-999.000,-999.000, 13.6809
     316N145_5,  I08S,     4,  1,     30, 038,2,19941205,0313,-30.3000,  94.9945, 1945,    255.6,  13.7070,  35.3832,1,  35.3835,2,    222.3,1,    226.8,2,     1.79,2,     5.50,2,     0.01,2,     0.56,2,    3.021,2,    1.505,2, -999.000,5,   1.7710,5,    -0.68,2,    108.6,2,      1.3,2,   7.356,2,   2093.4,2,   -999.0,5,   2327.0,2, 2592.3,     3.6,  0.0020,   0.130,   0.041, 13.6704
     316N145_5,  I08S,     4,  1,     28, 009,2,19941205,0313,-30.3000,  94.9945, 1945,    307.2,  12.6234,  35.2116,1,  35.2123,2,    229.3,1,    230.3,2,     2.16,2,     7.64,2,     0.01,2,     0.68,2,    3.160,2,    1.523,2, -999.000,5,   1.7660,5,    -0.80,2,     97.6,2,      1.3,2,   7.374,2,   2097.5,2,   -999.0,5,   2321.2,2, 3105.7,     3.2,  0.0040,   0.160,   0.046, 12.5817
     316N145_5,  I08S,     4,  1,     27, 010,2,19941205,0313,-30.3000,  94.9945, 1945,    355.7,  12.0102,  35.1224,1,  35.1165,2,    233.9,1,    234.7,2,     2.52,2,     8.71,2,     0.01,2,     0.75,2,    3.216,2,    1.559,2, -999.000,5,-999.0000,5,  -999.00,9,     93.1,2,      1.3,2,-999.000,9,   2100.1,2,   -999.0,5,   2310.1,2, 3588.1,     3.9,-999.0000,-999.000,-999.000, 11.9634
     316N145_5,  I08S,     4,  1,     26, 011,2,19941205,0313,-30.3000,  94.9945, 1945,    406.9,  11.4592,  35.0285,1,-999.0000,9,    237.8,1,    237.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    3.282,2,    1.586,2, -999.000,5,   1.7410,5,    -0.67,2,     84.2,2,      1.3,2,   7.338,4,   2102.8,2,   -999.0,5,   2311.8,2, 4097.4,     7.9,  0.0020,   0.120,   0.040, 11.4072
