BOTTLE,20020817WHPOSA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: Aug. 17, 2002
#original HYD file: i02ehy.txt   Sat Aug 17 16:20:57 2002
#original SUM file: i02esu.txt   Tue Jan  8 10:56:35 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,LCAT,LCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,ALKALI,ALKALI_FLAG_W,CTDRAW,C14ERR,HELIER,DELHER,NEONER,THETA,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PM/KG,,PM/KG,,TU,,UMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,UMOL/KG,,UATM,,UMOL/KG,,,/MILLE,NMOL/KG,PERCNT,NMOL/KG,ITS-90,TU
    316N145_14,  I02E,  1077,  1,     18, 006,2,19951204,2320, -8.9998, 105.6333, 6445,   6122.9,   1.3262,  34.7111,2,  34.7107,2,    194.8,2,    196.7,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.007,2,    0.014,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61377.5,  -999.0,-999.0000,-999.000,-999.000,  0.7545,-999.000
    316N145_14,  I02E,  1077,  1,      1, 023,2,19951204,2320, -8.9998, 105.6333, 6445,   6122.9,   1.3258,  34.7102,2,-999.0000,9,    194.8,2,    196.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -0.001,2,    0.007,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   2390.9,2,61377.7,  -999.0,-999.0000,-999.000,-999.000,  0.7542,-999.000
    316N145_14,  I02E,  1077,  1,     21, 025,2,19951204,2320, -8.9998, 105.6333, 6445,   6123.2,   1.3264,  34.7109,2,  34.7103,2,    194.8,2,    196.5,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,5, -999.000,5, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61381.3,  -999.0,-999.0000,-999.000,-999.000,  0.7547,-999.000
    316N145_14,  I02E,  1077,  1,     12, 012,2,19951204,2320, -8.9998, 105.6333, 6445,   6123.3,   1.3261,  34.7109,2,  34.7111,2,    194.8,2,    196.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.001,2,   -0.004,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61382.0,  -999.0,-999.0000,-999.000,-999.000,  0.7544,-999.000
    316N145_14,  I02E,  1077,  1,      4, 020,2,19951204,2320, -8.9998, 105.6333, 6445,   6123.3,   1.3260,  34.7100,2,  34.7091,2,    194.8,2,    197.0,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.000,2,    0.008,2, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61382.3,  -999.0,-999.0000,-999.000,-999.000,  0.7543,-999.000
    316N145_14,  I02E,  1077,  1,      5, 002,3,19951204,2320, -8.9998, 105.6333, 6445,   6123.5,   1.3258,  34.7100,2,  34.7054,3,    194.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,5, -999.000,5, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61383.5,  -999.0,-999.0000,-999.000,-999.000,  0.7541,-999.000
    316N145_14,  I02E,  1077,  1,     20, 004,2,19951204,2320, -8.9998, 105.6333, 6445,   6123.5,   1.3263,  34.7112,2,  34.7121,2,    194.8,2,    196.5,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,5, -999.000,5, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61384.3,  -999.0,-999.0000,-999.000,-999.000,  0.7546,-999.000
    316N145_14,  I02E,  1077,  1,      3, 021,3,19951204,2320, -8.9998, 105.6333, 6445,   6123.7,   1.3259,  34.7101,2,  34.7103,2,    194.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,5, -999.000,5, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   2391.9,2,61386.1,  -999.0,-999.0000,-999.000,-999.000,  0.7542,-999.000
    316N145_14,  I02E,  1077,  1,     23, 001,2,19951204,2320, -8.9998, 105.6333, 6445,   6123.8,   1.3262,  34.7113,2,  34.7107,2,    194.8,2,    196.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,5, -999.000,5, -999.000,1,-999.0000,1,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,61387.0,  -999.0,-999.0000,-999.000,-999.000,  0.7544,-999.000
