BOTTLE,20020820WHPSIOSCD
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20020820
#original HYD file: a24hy.txt   Tue Aug 20 15:44:10 2002
#original SUM file: ../a24su.txt   Wed Mar 28 13:47:35 2001
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,ALKALI,ALKALI_FLAG_W,PH,PH_FLAG_W,PCO2TMP,CTDRAW,THETA
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UATM,,UMOL/KG,,25_DEG,,DEG C,,DEG C
     316N151_2,   A24,     1,  1,     20,     20,2,19970530,2052, 38.8193, -27.0350, 1096,      1.6,  17.0640,  36.0475,2,  36.0497,2,   -999.0,5,    248.1,2,     0.38,2,     0.05,2,     0.00,2,     0.05,2,    2.775,2,    1.513,2,   2065.5,9,    364.5,2,   2367.3,2,     7.99,2,   20.00,   -999, 17.0637
     316N151_2,   A24,     1,  1,     19,     19,2,19970530,2052, 38.8193, -27.0350, 1096,     28.2,  16.6008,  36.0410,2,  36.0409,2,   -999.0,5,    249.5,2,     0.36,2,     0.14,2,     0.02,2,     0.05,2, -999.000,9, -999.000,9,   -999.0,9,    365.3,2,   2366.6,2,     7.99,2,   20.00,   -999, 16.5962
     316N151_2,   A24,     1,  1,     18,     18,2,19970530,2052, 38.8193, -27.0350, 1096,     52.6,  16.3184,  36.0411,2,  36.0407,2,   -999.0,5,    248.4,2,     0.45,2,     0.78,2,     0.09,2,     0.09,2,    2.852,2,    1.523,2,   2073.2,9,    371.5,2,   2366.2,2,     7.98,2,   20.00,   -999, 16.3100
     316N151_2,   A24,     1,  1,     17,     17,2,19970530,2052, 38.8193, -27.0350, 1096,     78.0,  15.8126,  36.0497,2,  36.0535,2,   -999.0,5,    248.4,2,     0.84,2,     2.45,2,     0.17,2,     0.18,2, -999.000,9, -999.000,9,   2084.0,9,    397.1,2,   2366.7,2,     7.96,2,   20.00,   -999, 15.8003
     316N151_2,   A24,     1,  1,     16,     16,2,19970530,2052, 38.8193, -27.0350, 1096,    102.9,  15.4007,  36.0480,2,  36.0355,2,   -999.0,5,    237.9,2,     1.44,2,     4.05,2,     0.16,2,     0.26,2,    2.844,2,    1.516,2,   2094.6,9,    414.6,2,   2364.4,2,     7.94,2,   20.00,   -999, 15.3848
     316N151_2,   A24,     1,  1,     15,     15,2,19970530,2052, 38.8193, -27.0350, 1096,    132.6,  14.8707,  36.0181,2,  36.0080,2,   -999.0,5,    233.4,2,     1.94,2,     5.73,2,     0.07,2,     0.35,2, -999.000,9, -999.000,9,   2103.3,9,    436.4,2,   2361.0,2,     7.92,2,   20.00,   -999, 14.8506
     316N151_2,   A24,     1,  1,     14,     14,2,19970530,2052, 38.8193, -27.0350, 1096,    163.2,  14.2386,  35.9461,2,  35.9508,2,   -999.0,5,    233.3,2,     2.44,2,     6.52,2,     0.05,2,     0.41,2, -999.000,9, -999.000,9,   2107.1,9,    446.9,2,   2358.6,2,     7.91,2,   20.00,   -999, 14.2146
     316N151_2,   A24,     1,  1,     13,     13,2,19970530,2052, 38.8193, -27.0350, 1096,    203.3,  13.9375,  35.9111,2,  35.9121,2,   -999.0,5,    231.9,2,     2.94,2,     7.94,2,     0.02,2,     0.49,2,    2.848,2,    1.522,2,   2113.3,9,    472.3,2,   2356.2,2,     7.89,2,   20.00,   -999, 13.9079
     316N151_2,   A24,     1,  1,     12,     12,2,19970530,2052, 38.8193, -27.0350, 1096,    253.0,  13.6339,  35.8724,2,  35.8614,2,   -999.0,5,    227.8,2,     3.23,2,     8.72,2,     0.02,2,     0.54,2, -999.000,9, -999.000,9,   2117.3,9,    486.2,2,   2354.1,2,     7.88,2,   20.00,   -999, 13.5976
     316N151_2,   A24,     1,  1,     11,     11,2,19970530,2052, 38.8193, -27.0350, 1096,    303.6,  13.3877,  35.8398,2,  35.8233,2,   -999.0,5,    225.6,2,     3.52,2,     9.28,2,     0.02,2,     0.58,2,    2.813,2,    1.498,2,   2120.2,9,    497.9,2,   2354.3,2,     7.88,2,   20.00,   -999, 13.3446
     316N151_2,   A24,     1,  1,     10,     10,2,19970530,2052, 38.8193, -27.0350, 1096,    353.8,  12.9532,  35.7771,2,  35.7624,2,   -999.0,5,    223.3,2,     4.02,2,    10.27,2,     0.01,2,     0.63,2,    2.797,2,    1.516,2,   2125.6,9,    515.0,2,   2350.7,2,     7.85,2,   20.00,   -999, 12.9040
     316N151_2,   A24,     1,  1,      9,      9,2,19970530,2052, 38.8193, -27.0350, 1096,    404.2,  12.2775,  35.6711,2,  35.6571,2,   -999.0,5,    216.2,2,     4.93,2,    11.97,2,     0.01,2,     0.75,2, -999.000,9, -999.000,9,   2133.5,9,    553.5,2,   2346.1,2,     7.84,2,   20.00,   -999, 12.2232
     316N151_2,   A24,     1,  1,      8,      8,2,19970530,2052, 38.8193, -27.0350, 1096,    454.4,  11.9417,  35.6356,2,  35.6210,2,   -999.0,5,    215.4,2,     5.33,2,    12.59,2,     0.01,2,     0.79,2,    2.726,2,    1.419,2,   2136.7,9,    566.0,2,   2343.1,2,     7.82,2,   20.00,   -999, 11.8815
     316N151_2,   A24,     1,  1,      7,      7,2,19970530,2052, 38.8193, -27.0350, 1096,    505.4,  11.5242,  35.5809,2,  35.5600,2,   -999.0,5,    210.1,2,     5.93,2,    13.68,2,     0.00,2,     0.86,2,    2.624,2,    1.350,2,   2141.6,9,    596.7,2,   2337.9,2,     7.80,2,   20.00,   -999, 11.4588
     316N151_2,   A24,     1,  1,      6,      6,2,19970530,2052, 38.8193, -27.0350, 1096,    604.7,  10.6557,  35.4702,2,-999.0000,5,   -999.0,5,    204.6,2,     7.25,2,    15.59,2,     0.01,2,     0.98,2, -999.000,9, -999.000,9,   2150.7,9,    635.9,2,   2335.5,2,     7.77,2,   20.00,   -999, 10.5809
     316N151_2,   A24,     1,  1,      5,      5,2,19970530,2052, 38.8193, -27.0350, 1096,    706.3,   9.4609,  35.3577,2,  35.3558,2,   -999.0,5,    195.0,2,     9.30,2,    17.87,2,     0.00,2,     1.13,2, -999.000,9, -999.000,9,   2163.9,9,    703.1,2,   2332.5,2,     7.74,2,   20.00,   -999,  9.3792
     316N151_2,   A24,     1,  1,      4,      4,2,19970530,2052, 38.8193, -27.0350, 1096,    807.8,   8.4764,  35.3236,2,-999.0000,5,   -999.0,5,    196.2,2,    10.62,2,    18.85,2,     0.00,2,     1.21,2,    1.606,2,    0.811,2,   2172.0,9,    728.7,2,   2331.5,2,     7.73,2,   20.00,   -999,  8.3882
     316N151_2,   A24,     1,  1,      3,      3,2,19970530,2052, 38.8193, -27.0350, 1096,    908.0,   7.6265,  35.2949,2,  35.2947,2,   -999.0,5,    204.7,4,    11.33,2,    18.85,2,     0.00,2,     1.22,2,    1.465,2,    0.715,2,   2172.6,9,    745.0,2,   2331.9,2,     7.73,2,   20.00,   -999,  7.5325
     316N151_2,   A24,     1,  1,      2,      2,2,19970530,2052, 38.8193, -27.0350, 1096,   1009.2,   7.0429,  35.2562,2,  35.2596,2,   -999.0,5,    218.2,2,    11.73,2,    18.81,2,     0.00,2,     1.22,2,    1.383,2,    0.678,2,   2173.1,9,    739.9,2,   2329.6,2,     7.72,2,   20.00,   -999,  6.9422
     316N151_2,   A24,     1,  1,      1,      1,2,19970530,2052, 38.8193, -27.0350, 1096,   1119.2,   6.5837,  35.2302,2,  35.2290,2,   -999.0,5,    222.0,2,    12.02,2,    18.76,2,     0.00,2,     1.23,2,    1.322,2,    0.653,2,   2172.3,9,    743.8,2,   2328.6,2,     7.72,2,   20.00,   -999,  6.4750
     316N151_2,   A24,     2,  1,     24,     24,2,19970531,0048, 39.0418, -26.7043, 2076,      4.0,  17.2768,  36.0432,2,  36.0398,2,    244.6,2,    244.4,2,     0.50,2,     0.11,2,     0.00,2,     0.05,2,    2.786,2,    1.500,2,   2068.8,9,   -999.0,9,   2376.1,6,     7.99,2, -999.00,   -999, 17.2761
     316N151_2,   A24,     2,  1,     23,     23,2,19970531,0048, 39.0418, -26.7043, 2076,     43.0,  16.9632,  36.0407,2,  36.0342,2,    245.3,2,    241.7,2,     0.48,2,     0.10,2,     0.01,2,     0.05,2,    2.796,2,    1.501,2,   2070.2,9,   -999.0,9,   2366.2,2,     7.98,2, -999.00,   -999, 16.9561
     316N151_2,   A24,     2,  1,     22,     22,2,19970531,0048, 39.0418, -26.7043, 2076,     83.1,  15.2324,  36.0159,2,  36.0114,2,    227.9,2,    232.7,2,     1.19,2,     4.11,2,     0.02,2,     0.26,2,    2.927,2,    1.567,2,   2097.4,9,   -999.0,9,   2361.2,2,     7.93,2, -999.00,   -999, 15.2197
     316N151_2,   A24,     2,  1,     21,     21,2,19970531,0048, 39.0418, -26.7043, 2076,    123.3,  14.5976,  35.9734,2,  35.9669,2,    227.5,2,    230.4,2,     1.90,2,     6.05,2,     0.02,2,     0.37,2,    2.925,2,    1.566,2,   2107.6,9,   -999.0,9,   2360.6,2,     7.91,2, -999.00,   -999, 14.5792
     316N151_2,   A24,     2,  1,     20,     20,2,19970531,0048, 39.0418, -26.7043, 2076,    163.3,  14.0299,  35.9061,2,  35.9055,2,    226.9,2,    226.3,2,     2.61,2,     7.68,2,     0.01,2,     0.47,2, -999.000,9, -999.000,9,   2113.9,9,   -999.0,9,   2357.9,2,     7.89,2, -999.00,   -999, 14.0061
     316N151_2,   A24,     2,  1,     19,     19,2,19970531,0048, 39.0418, -26.7043, 2076,    203.5,  13.6291,  35.8588,2,  35.8521,2,    225.5,2,    222.5,2,     3.12,2,     8.75,2,     0.01,2,     0.54,2,    2.902,2,    1.524,2,   2119.1,9,   -999.0,9,   2357.2,2,     7.88,2, -999.00,   -999, 13.6000
     316N151_2,   A24,     2,  1,     18,     18,2,19970531,0048, 39.0418, -26.7043, 2076,    243.7,  13.2815,  35.8087,2,  35.8045,2,    219.4,2,    220.6,2,     3.52,2,     9.61,2,     0.01,2,     0.59,2,    2.923,2,    1.521,2,   2124.2,9,   -999.0,9,   2352.4,2,     7.86,2, -999.00,   -999, 13.2471
     316N151_2,   A24,     2,  1,     17,     17,2,19970531,0048, 39.0418, -26.7043, 2076,    284.2,  12.9851,  35.7671,2,  35.7635,2,    215.9,2,    220.3,2,     3.71,2,    10.07,2,     0.01,2,     0.62,2, -999.000,9, -999.000,9,   2126.8,9,   -999.0,9,   2359.5,2,     7.86,2, -999.00,   -999, 12.9456
     316N151_2,   A24,     2,  1,     16,     16,2,19970531,0048, 39.0418, -26.7043, 2076,    324.1,  12.7004,  35.7232,2,  35.7225,2,    211.5,2,    219.1,2,     4.11,2,    10.73,2,     0.01,2,     0.67,2,    2.875,2,    1.482,2,   2129.3,9,   -999.0,9,   2349.1,2,     7.84,2, -999.00,   -999, 12.6560
     316N151_2,   A24,     2,  1,     15,     15,2,19970531,0048, 39.0418, -26.7043, 2076,    364.3,  12.4876,  35.6928,2,  35.6861,2,    217.8,2,    218.1,2,     4.41,2,    11.19,2,     0.01,2,     0.70,2,    2.873,2,    1.481,2,   2130.7,9,   -999.0,9,   2346.0,2,     7.84,2, -999.00,   -999, 12.4381
     316N151_2,   A24,     2,  1,     14,     14,3,19970531,0048, 39.0418, -26.7043, 2076,    404.8,  12.0981,  35.6284,2,  35.7783,4,    214.9,2,    222.8,4,     3.36,4,     8.55,4,     0.01,4,     0.55,4, -999.000,9, -999.000,9,   2120.7,9,   -999.0,9,   2351.7,4,     7.87,4, -999.00,   -999, 12.0443
     316N151_2,   A24,     2,  1,     13,     13,2,19970531,0048, 39.0418, -26.7043, 2076,    455.1,  11.7612,  35.5939,2,  35.5870,2,    213.0,2,    213.3,2,     5.32,2,    12.87,2,     0.01,2,     0.80,2,    2.756,2,    1.377,2,   2137.9,9,   -999.0,9,   2341.8,2,     7.82,2, -999.00,   -999, 11.7016
     316N151_2,   A24,     2,  1,     12,     12,2,19970531,0048, 39.0418, -26.7043, 2076,    505.2,  11.1647,  35.4972,2,  35.4883,2,    206.8,2,    204.4,2,     6.54,2,    14.66,2,     0.01,2,     0.93,2, -999.000,9, -999.000,9,   2145.3,9,   -999.0,9,   2337.0,2,     7.79,2, -999.00,   -999, 11.1006
     316N151_2,   A24,     2,  1,     11,     11,2,19970531,0048, 39.0418, -26.7043, 2076,    555.6,  10.6454,  35.4355,2,  35.4309,2,    195.8,2,    199.7,2,     7.46,2,    15.83,2,     0.01,2,     1.01,2,    2.408,2,    1.235,2,   2152.4,9,   -999.0,9,   2336.0,2,     7.77,2, -999.00,   -999, 10.5768
