BOTTLE,20110510CCHDOSIODM
#Changed CFC units from PMOL/L to PMOL/KG. Original data file from Deborah Lebel, LDEO, received April 10, 2002, says "08 Apr 2001; CFCs are in pmol/kg"
#BOTTLE,20080826WHPSIODBK
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20080826
#original HYD file: a20hy.txt   Tue Aug 26 11:29:57 2008
#original SUM file: a20su.txt   Mon Aug 25 11:33:14 2008
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,ALKALI,ALKALI_FLAG_W,PH,PH_FLAG_W,C14ERR,DELHER,HELIER,NEONER,TRITER
,,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,ITS-90,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,UMOL/KG,,UATM@20,,UMOL/KG,,25_DEG,,/MILLE,PERCNT,NMOL/KG,NMOL/KG,TU
     316N151_3,   A20,     6,  1,     12,     12,2,19970720,0914, 42.9673, -50.8453,  156,  452.4,      2.3,  13.6227,  33.1000,2,-999.0000,9,    103.2,4, 13.6224,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,5, -999.000,5,   1.8326,2,    -1.43,2,   -999.0,9,  -999.00,9,   7.684,2,   2011.1,2,   -999.0,9,   2224.8,2,   7.9170,2,  -999.0,    0.15,  0.0092,   0.038,-999.000
     316N151_3,   A20,     6,  1,     11,     11,2,19970720,0914, 42.9673, -50.8453,  156,  452.3,      2.5,  13.6279,  33.0968,2,  33.1010,2,    103.3,4, 13.6275,    273.3,2,     0.36,2,     0.04,2,     0.00,2,     0.24,2,    3.851,2,    1.983,2, -999.000,5, -999.000,5,-999.0000,5,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,    452.3,2,   -999.0,9,-999.0000,9,  -999.0, -999.00,-999.0000,-999.000,-999.000
     316N151_3,   A20,     6,  1,     10,     10,2,19970720,0914, 42.9673, -50.8453,  156,  906.3,     51.0,  -0.6219,  33.1358,2,-999.0000,9,    166.0,4, -0.6233,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,5, -999.000,5,-999.0000,5,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   2110.4,2,    799.9,2,   2238.9,2,   7.6890,2,  -999.0, -999.00,-999.0000,-999.000,-999.000
     316N151_3,   A20,     6,  1,      9,      9,2,19970720,0914, 42.9673, -50.8453,  156,  908.4,     51.2,  -0.5035,  33.1298,2,  33.1380,2,    166.2,4, -0.5049,    335.7,2,     4.20,2,     7.42,2,     0.13,2,     0.92,2,    6.528,2,    3.326,2, -999.000,5, -999.000,5,-999.0000,5,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.0, -999.00,-999.0000,-999.000,-999.000
     316N151_3,   A20,     6,  1,      8,      8,2,19970720,0914, 42.9673, -50.8453,  156, 1368.0,    100.1,   6.9269,  34.3011,2,-999.0000,9,    141.3,4,  6.9177,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,5, -999.000,5,   1.8429,2,    -0.05,2,   -999.0,9,  -999.00,9,   8.059,2,   2104.8,2,    613.4,2,   2284.0,2,   7.8110,2,  -999.0,    0.15,  0.0092,   0.040,-999.000
     316N151_3,   A20,     6,  1,      7,      7,2,19970720,0914, 42.9673, -50.8453,  156, 1364.5,    100.3,   6.9692,  34.3062,2,  34.3085,2,    141.5,4,  6.9600,    268.6,2,     3.91,2,     7.31,2,     0.16,2,     0.72,2,    4.614,2,    2.324,2, -999.000,5, -999.000,5,-999.0000,5,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.0, -999.00,-999.0000,-999.000,-999.000
     316N151_3,   A20,     6,  1,      6,      6,2,19970720,0914, 42.9673, -50.8453,  156, 1846.3,    151.8,   6.2445,  34.2856,2,-999.0000,9,    148.7,4,  6.2314,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,5, -999.000,5,   1.8897,2,     1.04,2,   -999.0,9,  -999.00,9,   8.210,2,   2120.3,2,    666.3,2,   2284.3,2,   7.7660,2,  -999.0,    0.15,  0.0094,   0.041,-999.000
     316N151_3,   A20,     6,  1,      5,      5,2,19970720,0914, 42.9673, -50.8453,  156, 1847.0,    151.9,   6.2498,  34.2858,2,  34.2899,2,    148.6,4,  6.2367,    259.7,2,     5.91,2,     9.65,2,     0.14,2,     0.84,2,    4.562,2,    2.219,2, -999.000,5, -999.000,5,-999.0000,5,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.0, -999.00,-999.0000,-999.000,-999.000
     316N151_3,   A20,     6,  1,      4,      4,2,19970720,0914, 42.9673, -50.8453,  156, 2558.2,    227.0,   7.6375,  34.7104,2,-999.0000,9,    141.7,4,  7.6151,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,5, -999.000,5,   1.8614,2,     3.49,2,   -999.0,9,  -999.00,9,   8.054,2,   2145.2,2,    714.1,2,   2295.5,2,   7.7520,2,  -999.0,    0.15,  0.0093,   0.040,-999.000
