BOTTLE,20080905WHPSIODBK
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20080905
#original HYD file: a22hy.txt   Fri Sep  5 06:56:54 2008
#original SUM file: a22su.txt   Fri Sep  5 07:25:27 2008
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,ALKALI,ALKALI_FLAG_W,PH,PH_FLAG_W,C14ERR,DELHER,HELIER,NEONER,TRITER
,,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,ITS-90,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,UMOL/KG,,UATM,,UMOL/KG,,25_DEG,,/MILLE,PERCNT,NMOL/KG,NMOL/KG,TU
     316N151_4,   A22,     1,  1,     36,     36,2,19970816,1101, 11.3403, -64.7508,  964,  162.0,      1.6,  26.0772,  36.8109,2,  36.8136,2,    202.4,2, 26.0768,    214.3,2,     0.56,2,     0.03,2,     0.01,2,     0.03,2,    1.845,2,    1.083,2,    0.111,2, -999.000,9,-999.0000,5,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   2069.9,2,    314.0,2,   2413.3,2,   8.0690,2,  -999.0, -999.00,-999.0000,-999.000,-999.000
     316N151_4,   A22,     1,  1,     35,     35,2,19970816,1101, 11.3403, -64.7508,  964,  163.4,      1.8,  26.0799,  36.8116,2,  36.8134,2,    201.8,2, 26.0795,    212.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    1.832,2,    1.075,2,    0.109,2, -999.000,9,-999.0000,5,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.0, -999.00,-999.0000,-999.000,-999.000
     316N151_4,   A22,     1,  1,     34,     34,3,19970816,1101, 11.3403, -64.7508,  964,  210.7,      6.8,  26.0790,  36.8119,2,-999.0000,9,    202.6,2, 26.0775,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,5,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   2068.4,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.0, -999.00,-999.0000,-999.000,-999.000
     316N151_4,   A22,     1,  1,     33,     33,2,19970816,1101, 11.3403, -64.7508,  964,  211.5,      6.9,  26.0828,  36.8099,2,  36.8132,2,    202.8,2, 26.0812,    212.1,2,     0.50,2,     0.03,2,     0.01,2,     0.02,2,    1.832,2,    1.074,2,    0.113,2, -999.000,9,-999.0000,5,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,   2413.9,2,   8.0660,2,  -999.0, -999.00,-999.0000,-999.000,-999.000
     316N151_4,   A22,     1,  1,     32,     32,2,19970816,1101, 11.3403, -64.7508,  964,  303.2,     16.4,  26.0150,  36.8098,2,  36.8228,2,    213.4,2, 26.0113,    213.7,2,     0.54,2,     0.03,2,     0.01,2,     0.02,2,    1.895,2,    1.097,2,    0.094,2, -999.000,9,-999.0000,5,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   2073.7,2,    314.0,2,   2413.7,2,   8.0610,2,  -999.0, -999.00,-999.0000,-999.000,-999.000
     316N151_4,   A22,     1,  1,     31,     31,2,19970816,1101, 11.3403, -64.7508,  964,  304.3,     16.5,  26.0164,  36.8077,2,  36.8226,2,    213.6,2, 26.0127,    211.6,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    1.825,2,    1.076,2,    0.112,2, -999.000,9,-999.0000,5,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.0, -999.00,-999.0000,-999.000,-999.000
     316N151_4,   A22,     1,  1,     30,     30,2,19970816,1101, 11.3403, -64.7508,  964,  402.1,     26.2,  21.7549,  36.7894,2,  36.8365,2,    216.6,2, 21.7497,    197.3,2,     0.88,2,     0.49,2,     0.07,2,     0.06,2,    2.007,2,    1.121,2,    0.042,2, -999.000,9,-999.0000,5,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   2101.3,2,    361.0,2,   2416.5,2,   8.0160,2,  -999.0, -999.00,-999.0000,-999.000,-999.000
     316N151_4,   A22,     1,  1,     29,     29,2,19970816,1101, 11.3403, -64.7508,  964,  403.9,     26.4,  21.9173,  36.7990,2,  36.8309,2,    216.3,2, 21.9121,    196.3,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,5,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.0, -999.00,-999.0000,-999.000,-999.000
     316N151_4,   A22,     1,  1,     28,     28,2,19970816,1101, 11.3403, -64.7508,  964,  509.7,     37.0,  20.8800,  36.7770,2,  36.7728,2,    179.2,2, 20.8729,    153.2,2,     2.13,2,     4.55,2,     0.43,2,     0.28,2,    2.010,2,    1.102,2,    0.027,2, -999.000,9,-999.0000,5,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   2137.5,2,    439.0,2,   2407.8,2,   7.9440,2,  -999.0, -999.00,-999.0000,-999.000,-999.000
     316N151_4,   A22,     1,  1,     27,     27,2,19970816,1101, 11.3403, -64.7508,  964,  511.1,     37.1,  20.8404,  36.7775,2,  36.7714,2,    178.4,2, 20.8333,    148.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    1.963,2,    1.111,2,    0.039,2, -999.000,9,-999.0000,5,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.0, -999.00,-999.0000,-999.000,-999.000
