BOTTLE,20091102SIOCCHDOSCD
#BOTTLE,20060913RSMASDAW
#EXPOCODE 316N20050821
#FILE with corrected carbon values and latest CFCs
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PH,PH_FLAG_W
,,,,,,,,,,,,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM@20,,SW@25,
316N20050821,AAIW,1,1,22,22,2,20050823,50,-54.9316,-72.6829,195,2.8,7.5386,33.2673,2,33.2692,2,-999.0,9,-999.0,9,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,-999.0,9,-999.0,9,-999.0,9,-999.00,9
316N20050821,AAIW,1,1,21,21,2,20050823,50,-54.9316,-72.6829,195,2.8,7.5382,33.2645,2,33.2674,2,-999.0,9,-999.0,9,3.62,2,14.81,2,0.17,2,1.25,2,4.148,2,2.374,2,0.402,2,5.279,2,-999.0,9,-999.0,9,-999.0,9,-999.00,9
316N20050821,AAIW,1,1,23,23,2,20050823,50,-54.9315,-72.6829,0,3.2,7.5387,33.2673,2,33.2665,2,-999.0,9,-999.0,9,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,-999.0,9,-999.0,9,-999.0,9,-999.00,9
316N20050821,AAIW,1,1,24,24,2,20050823,50,-54.9315,-72.6829,385,3.3,7.5391,33.2670,2,33.2672,2,288.6,2,289.4,2,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,2053.9,2,-999.0,1,-999.0,9,-999.00,1
316N20050821,AAIW,1,1,19,19,2,20050823,47,-54.9318,-72.6828,195,27.2,7.5423,33.2676,2,33.2676,2,288.6,2,289.5,2,3.62,2,14.81,2,0.16,2,1.25,2,4.147,2,2.369,2,0.397,2,5.217,2,2052.8,2,2210.4,2,-999.0,9,-999.00,1
316N20050821,AAIW,1,1,18,18,9,20050823,47,-54.9318,-72.6828,196,27.3,7.5420,33.2683,2,-999.0000,9,-999.0,9,-999.0,9,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,-999.0,9,-999.0,9,-999.0,9,-999.00,9
316N20050821,AAIW,1,1,20,20,2,20050823,47,-54.9318,-72.6829,196,27.3,7.5414,33.2677,2,33.2667,2,-999.0,9,-999.0,9,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,-999.0,9,-999.0,9,-999.0,9,-999.00,9
316N20050821,AAIW,1,1,17,17,9,20050823,45,-54.9319,-72.6828,195,51.8,7.4300,33.5414,2,-999.0000,9,-999.0,9,-999.0,9,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,-999.0,9,-999.0,9,-999.0,9,-999.00,9
316N20050821,AAIW,1,1,15,15,2,20050823,45,-54.9319,-72.6827,386,51.9,7.4284,33.5413,2,33.5470,2,-999.0,9,-999.0,9,3.07,2,15.57,2,0.13,2,1.27,2,4.179,2,2.377,2,0.391,2,5.104,2,-999.0,9,-999.0,9,-999.0,9,-999.00,9
316N20050821,AAIW,1,1,16,16,2,20050823,45,-54.9319,-72.6828,0,51.9,7.4282,33.5416,2,33.5417,2,-999.0,9,-999.0,9,-999.00,9,-999.00,9,-999.00,9,-999.00,9,-999.000,9,-999.000,9,-999.000,9,-999.000,9,-999.0,9,-999.0,9,-999.0,9,-999.00,9
