BOTTLE,20081218PRINUNIVRMK
# 4/18/05 Initialized README file 
# Data from Kozyr 5/11/04; original CARINA file 
# Ship: Atlantis II 
# Cruise: 31AN119 
# Dates: 4/20 - 6/6/1989  
# EXPOCODE: 31AN19890420 
# Region: Section on ~20W from 47-60N 
# Chief Scientist: P. Brewer 
# 51 stations with ?? place Rosette 
# Hydro: Who - ?; Status - final 
# 	Notes: 	cast and bottle numbers fabricated 
# Nuts/O2: Who - ?; Status - final 
# 	Notes: included NH4 
# TCO2: Who - Goyet; Status - final 
# 	Notes: Values ~15umol/kg low relative to OACES93 and A16Nr2003 
# 	CRM not used 
# TA: Who - Goyet; Status - final 
# 	Notes: Values ~5-10umol/kg high relative to OACES93 and A16Nr2003 
# 	No CRM 
# pCO2: Who - Goyet; Status - final 
# 	Notes: Values low by ~40ppm relative to OACES93 and A16Nr2003 
# 	No pCO2_t given in file 
EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PPM,,UMOL/KG,,DEGC
  31AN19890420,     4,  1,      1,2,19890420, 59.7633, -20.6430, 2808,     28.2,   8.2530,  35.2140,2,    277.5,2,     6.54,2,    12.88,2,     0.09,2,     0.85,2,     -999,9,   2122.0,2,    579.0,2,   2332.5,2,   8.2501
  31AN19890420,     4,  1,      2,2,19890420, 59.7633, -20.6430, 2808,     53.4,   8.2760,  35.2320,2,    274.5,2,     6.73,2,    12.88,2,     0.05,2,     0.83,2,     -999,9,   2115.0,2,    578.0,2,   2335.5,2,   8.2705
  31AN19890420,     4,  1,      3,2,19890420, 59.7633, -20.6430, 2808,     78.6,   8.2320,  35.2230,2,    274.5,2,     6.73,2,    12.88,2,     0.06,2,     0.83,2,     -999,9,   2117.0,2,    579.0,2,   2328.5,2,   8.2239
  31AN19890420,     4,  1,      4,2,19890420, 59.7633, -20.6430, 2808,    103.8,   8.1780,  35.2150,2,    274.9,2,     6.73,2,    12.98,2,     0.06,2,     0.84,2,     -999,9,   2118.0,2,    580.0,2,   2335.5,2,   8.1674
  31AN19890420,     4,  1,      5,2,19890420, 59.7633, -20.6430, 2808,    153.2,   8.1000,  35.2000,2,    274.9,2,     6.83,2,    13.07,2,     0.11,2,     0.86,2,     -999,9,   2122.0,2,    583.0,2,   2334.5,2,   8.0844
  31AN19890420,     4,  1,      6,2,19890420, 59.7633, -20.6430, 2808,    202.6,   8.1060,  35.2030,2,    274.1,2,     6.73,2,    13.07,2,     0.11,2,     0.85,2,     -999,9,   2121.0,2,    585.0,2,   2329.5,2,   8.0853
  31AN19890420,     4,  1,      7,2,19890420, 59.7633, -20.6430, 2808,    300.5,   8.0970,  35.2060,2,    273.6,2,     6.73,2,    13.17,2,     0.09,2,     0.85,2,     -999,9,   2120.0,2,    584.0,2,   2328.5,2,   8.0661
  31AN19890420,     4,  1,      8,2,19890420, 59.7633, -20.6430, 2808,    398.4,   7.8310,  35.1640,2,    266.7,2,     7.41,2,    14.15,2,     0.07,2,     0.92,2,     -999,9,   2129.0,2,    608.0,2,   2331.5,2,   7.7905
  31AN19890420,     4,  1,      9,2,19890420, 59.7633, -20.6430, 2808,    502.4,   7.3280,  35.1030,2,    255.3,2,     8.68,2,    15.51,2,     0.02,2,     1.01,2,     -999,9,   2140.1,2,    650.0,2,   2329.6,2,   7.2786
  31AN19890420,     4,  1,     10,2,19890420, 59.7633, -20.6430, 2808,    960.3,   5.1070,  34.9850,2,    238.8,2,    11.71,2,    18.34,2,     0.00,2,     1.19,2,     -999,9,   2162.6,2,    750.0,2,   2325.0,2,   5.0257
  31AN19890420,     4,  1,     11,2,19890420, 59.7633, -20.6430, 2808,   1140.6,   4.3690,  34.9370,2,    256.6,2,    11.41,2,    17.95,2,     0.00,2,     1.17,2,     -999,9,   2154.7,2,    760.0,2,   2321.1,2,   4.2775
  31AN19890420,     4,  1,     12,2,19890420, 59.7633, -20.6430, 2808,   1348.3,   3.9360,  34.9120,2,    269.7,2,    11.22,2,    17.46,2,     0.00,2,     1.13,2,     -999,9,   2153.7,2,    739.0,2,   2320.2,2,   3.8302
  31AN19890420,     7,  1,      1,2,19890422, 53.5050, -20.0400, 2295,     27.2,   9.5440,  35.2760,2,    277.1,2,     6.05,2,    11.02,2,     0.15,2,     0.73,2,     -999,9,   2113.6,2,    543.0,2,   2353.2,2,   9.5410
  31AN19890420,     7,  1,      2,2,19890422, 53.5050, -20.0400, 2295,     52.4,   9.3300,  35.2610,2,    272.8,2,     6.15,2,    11.51,2,     0.16,2,     0.76,2,     -999,9,   2115.7,2,    556.0,2,   2345.2,2,   9.3242
  31AN19890420,     7,  1,      3,2,19890422, 53.5050, -20.0400, 2295,     76.6,   9.3020,  35.2580,2,    271.0,2,     6.15,2,    11.71,2,     0.17,2,     0.76,2,     -999,9,   2111.7,2,    560.0,2,   2329.2,2,   9.2935
  31AN19890420,     7,  1,      4,2,19890422, 53.5050, -20.0400, 2295,    100.8,   9.2920,  35.2570,2,    270.1,2,     6.05,2,    11.80,2,     0.18,2,     0.77,2,     -999,9,   2113.7,2,    563.0,2,   2329.2,2,   9.2808
  31AN19890420,     7,  1,      5,2,19890422, 53.5050, -20.0400, 2295,    148.2,   9.2820,  35.2570,2,    269.7,2,     6.05,2,    11.80,2,     0.19,2,     0.77,2,     -999,9,   2116.7,2,    564.0,2,   2330.2,2,   9.2656
  31AN19890420,     7,  1,      6,2,19890422, 53.5050, -20.0400, 2295,    251.0,   9.2610,  35.2530,2,    269.7,2,     6.15,2,    11.90,2,     0.19,2,     0.78,2,     -999,9,   2121.7,2,    564.0,2,   2328.2,2,   9.2330
  31AN19890420,     7,  1,      7,2,19890422, 53.5050, -20.0400, 2295,    352.9,   8.1250,  35.1060,2,    221.3,2,     9.76,2,    16.88,2,     0.02,2,     1.09,2,     -999,9,   2145.9,2,    699.0,2,   2320.3,2,   8.0885
  31AN19890420,     7,  1,      8,2,19890422, 53.5050, -20.0400, 2295,    505.4,   6.8160,  35.0660,2,    216.5,2,    11.51,2,    18.44,2,     0.01,2,     1.19,2,     -999,9,   2158.2,2,    759.0,2,   2324.7,2,   6.7682
  31AN19890420,     7,  1,      9,2,19890422, 53.5050, -20.0400, 2295,    743.9,   5.9880,  35.1220,2,    225.7,2,    12.00,2,    18.34,2,     0.02,2,     1.18,2,     -999,9,   2172.6,2,    764.0,2,   2325.0,2,   5.9211
  31AN19890420,     7,  1,     10,2,19890422, 53.5050, -20.0400, 2295,    986.7,   4.5490,  34.9810,2,    254.9,2,    11.61,2,    17.66,2,     0.02,2,     1.14,2,     -999,9,   2156.7,2,    759.0,2,   2314.1,2,   4.4695
  31AN19890420,     7,  1,     11,2,19890422, 53.5050, -20.0400, 2295,   1176.0,   4.0020,  34.9300,2,    268.0,2,    11.51,2,    17.27,2,     0.02,2,     1.12,2,     -999,9,   2145.7,2,    748.0,2,   2310.2,2,   3.9106
  31AN19890420,     7,  1,     12,2,19890422, 53.5050, -20.0400, 2295,   1374.6,   3.8090,  34.9280,2,    271.9,2,    11.71,2,    16.88,2,     0.02,2,     1.10,2,     -999,9,   2155.8,2,    738.0,2,   2313.2,2,   3.7022
  31AN19890420,    10,  1,      1,2,19890425, 47.0950, -19.9100, 4548,      3.0,-999.0000,-999.0000,9,    260.6,2,     2.44,2,     5.56,2,     0.30,2,     0.37,2,     -999,9,   -999.0,9,    450.0,2,   -999.0,9,-999.0000
  31AN19890420,    10,  1,      2,2,19890425, 47.0950, -19.9100, 4548,     10.1,-999.0000,-999.0000,9,    260.1,2,     2.15,2,     5.56,2,     0.30,2,     0.37,2,     -999,9,   -999.0,9,    450.0,2,   -999.0,9,-999.0000
  31AN19890420,    10,  1,      3,2,19890425, 47.0950, -19.9100, 4548,     20.2,-999.0000,-999.0000,9,    260.6,2,     2.15,2,     5.56,2,     0.30,2,     0.38,2,     -999,9,   -999.0,9,    449.0,2,   -999.0,9,-999.0000
  31AN19890420,    10,  1,      4,2,19890425, 47.0950, -19.9100, 4548,     30.2,-999.0000,-999.0000,9,    260.6,2,     2.05,2,     5.66,2,     0.29,2,     0.38,2,     -999,9,   -999.0,9,    448.0,2,   -999.0,9,-999.0000
  31AN19890420,    10,  1,      5,2,19890425, 47.0950, -19.9100, 4548,     40.3,-999.0000,-999.0000,9,    260.1,2,     2.15,2,     5.66,2,     0.29,2,     0.38,2,     -999,9,   -999.0,9,    450.0,2,   -999.0,9,-999.0000
  31AN19890420,    10,  1,      6,2,19890425, 47.0950, -19.9100, 4548,     55.4,-999.0000,-999.0000,9,    260.6,2,     2.15,2,     5.66,2,     0.30,2,     0.38,2,     -999,9,   -999.0,9,    449.0,2,   -999.0,9,-999.0000
  31AN19890420,    10,  1,      7,2,19890425, 47.0950, -19.9100, 4548,      2.0,  12.6010,  35.7150,2,    261.0,2,     2.34,2,     5.76,2,     0.26,2,     0.37,2,     -999,9,   2097.1,2,    448.0,2,   2352.6,2,  12.6007
  31AN19890420,    10,  1,      8,2,19890425, 47.0950, -19.9100, 4548,     22.2,  12.6030,  35.7110,2,    260.6,2,     2.24,2,     5.85,2,     0.27,2,     0.39,2,     -999,9,   2097.1,2,    450.0,2,   2348.6,2,  12.6000
  31AN19890420,    10,  1,      9,2,19890425, 47.0950, -19.9100, 4548,     41.3,  12.6090,  35.7100,2,    261.0,2,     2.24,2,     5.85,2,     0.27,2,     0.39,2,     -999,9,   2098.1,2,    450.0,2,   2351.6,2,  12.6034
  31AN19890420,    10,  1,     10,2,19890425, 47.0950, -19.9100, 4548,     61.5,  12.6060,  35.7090,2,    260.6,2,     2.15,2,     5.85,2,     0.27,2,     0.39,2,     -999,9,   2094.1,2,    451.0,2,   2347.6,2,  12.5977
  31AN19890420,    10,  1,     11,2,19890425, 47.0950, -19.9100, 4548,     81.6,  12.6120,  35.7090,2,    260.6,2,     2.15,2,     5.85,2,     0.27,2,     0.38,2,     -999,9,   2098.1,2,    450.0,2,   2343.6,2,  12.6010
  31AN19890420,    10,  1,     12,2,19890425, 47.0950, -19.9100, 4548,    100.8,  12.6150,  35.7090,2,    260.6,2,     2.15,2,     5.85,2,     0.27,2,     0.38,2,     -999,9,   2098.1,2,    449.0,2,   2348.6,2,  12.6014
  31AN19890420,    10,  1,     13,2,19890425, 47.0950, -19.9100, 4548,    120.9,  12.4560,  35.6880,2,    257.1,2,     2.44,2,     6.83,2,     0.32,2,     0.44,2,     -999,9,   2103.2,2,    463.0,2,   2351.7,2,  12.4398
  31AN19890420,    10,  1,     14,2,19890425, 47.0950, -19.9100, 4548,    159.3,  12.3420,  35.6780,2,    256.2,2,     2.73,2,     7.32,2,     0.29,2,     0.47,2,     -999,9,   2104.2,2,    468.0,2,   2353.7,2,  12.3207
  31AN19890420,    10,  1,     15,2,19890425, 47.0950, -19.9100, 4548,    192.5,  12.2170,  35.6610,2,    254.5,2,     2.93,2,     7.71,2,     0.23,2,     0.50,2,     -999,9,   2106.2,2,    476.0,2,   -999.0,9,  12.1914
  31AN19890420,    10,  1,     16,2,19890425, 47.0950, -19.9100, 4548,    290.4,  11.9760,  35.6360,2,    257.5,2,     2.73,2,     7.80,2,     0.15,2,     0.50,2,     -999,9,   2107.3,2,    480.0,2,   2348.8,2,  11.9378
  31AN19890420,    10,  1,     17,2,19890425, 47.0950, -19.9100, 4548,    387.3,  11.4060,  35.5360,2,    232.7,2,     4.49,2,    11.41,2,     0.02,2,     0.69,2,     -999,9,   2125.4,2,    545.0,2,   2337.8,2,  11.3564
  31AN19890420,    10,  1,     18,2,19890425, 47.0950, -19.9100, 4548,    481.2,  11.0890,  35.4970,2,    227.0,2,     4.98,2,    12.39,2,     0.01,2,     0.76,2,     -999,9,   2129.5,2,    564.0,2,   2338.9,2,  11.0283
  31AN19890420,    10,  1,     19,2,19890425, 47.0950, -19.9100, 4548,      2.0,  12.6610,  35.7080,2,    263.2,2,     2.24,2,     5.66,2,     0.27,2,     0.37,2,     -999,9,   2094.1,2,    446.0,2,   2351.6,2,  12.6607
