BOTTLE,20040408WHPSIOSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#code : jjward hyd_to_exchange.pl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original files copied from HTML directory: April 8,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original HYD file: p16shy.txt   Thu Apr  8 11:22:08 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original SUM file: p16ssu.txt   Wed Apr 17 11:40:47 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2_TMP,ALKALI,ALKALI_FLAG_W,C14ERR,HELIER,DELHER,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,DEG C,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,UMOL/KG,,UATM,,DEG C,UMOL/KG,,/MILLE,NMOL/KG,PERCNT,TU
   31WTTUNES_2,  P17S,124,1,1,1,2,19910721,2322,-6.005,-135.0033,4484,1,27.4759,35.1665,2,35.172,2,-999,9,27.4757,214.7,2,2.74,2,4.66,2,0.08,2,0.54,2,1.676,2,0.946,2,-999,9,-999,9,-999,9,-999,9,-999,9,1998.6,2,298.1,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,2,2,2,19910721,2322,-6.005,-135.0033,4484,53.2,27.3959,35.1756,2,35.1817,2,216.4,6,27.3836,214.8,2,2.73,2,4.81,2,0.08,2,0.53,2,1.639,2,0.917,2,-999,9,-999,9,-999,9,-999,9,-999,9,2000.6,2,313.2,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,3,3,2,19910721,2322,-6.005,-135.0033,4484,78.5,27.4009,35.194,2,35.1999,2,213.6,6,27.3827,213.8,2,2.71,2,4.91,2,0.08,2,0.54,2,1.507,2,0.867,2,-999,9,-999,9,-999,9,-999,9,-999,9,2003.4,2,297.7,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,4,4,2,19910721,2322,-6.005,-135.0033,4484,98,27.3409,35.4125,2,35.479,2,206.3,6,27.3182,209.2,2,2.69,2,4.56,2,0.08,2,0.59,2,1.532,2,0.864,2,-999,9,-999,9,-999,9,-999,9,-999,9,2015.1,2,318.4,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,5,5,2,19910721,2322,-6.005,-135.0033,4484,114,25.9565,35.9781,2,35.9803,2,193.4,2,25.931,196.4,2,2.48,2,3.08,2,0.11,2,0.63,2,1.731,2,1.024,2,-999,9,-999,9,-999,9,-999,9,-999,9,2047.4,2,304.5,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,6,6,2,19910721,2322,-6.005,-135.0033,4484,128.9,24.2842,36.0574,2,36.0313,2,185.1,2,24.2567,186.6,2,2.27,2,2.52,2,2.02,2,0.67,2,0.776,4,0.445,4,-999,9,-999,9,-999,9,-999,9,-999,9,2080.4,2,359.2,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,7,7,2,19910721,2322,-6.005,-135.0033,4484,154.8,20.1857,35.7663,2,35.7467,2,156.8,2,20.1568,158.3,2,2.63,2,7.93,2,0.15,2,0.81,2,-999,5,-999,5,-999,9,-999,9,-999,9,-999,9,-999,9,2117.4,2,455.4,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,8,8,2,19910721,2322,-6.005,-135.0033,4484,181.4,16.1159,35.2264,2,35.2191,2,79.6,2,16.087,76,2,8.76,2,18.56,2,0.05,2,1.59,2,1.333,2,0.758,2,-999,9,-999,9,-999,9,-999,9,-999,9,2181,2,781.8,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,9,9,2,19910721,2322,-6.005,-135.0033,4484,215.7,12.7626,34.9312,2,34.93,2,20.3,2,12.7333,22.9,2,20.06,2,28.61,2,0.01,2,2.24,2,0.371,2,0.217,2,-999,9,-999,9,-999,9,-999,9,-999,9,2233,2,1275.7,2,20,-999,9,-999,-999,-999,-999
