BOTTLE,20030828WHPSIOsA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: Aug. 28, 2003
#original HYD file: s04ihy.txt   Thu Aug 28 13:12:11 2003
#original SUM file: s04isu.txt   Thu Aug 28 13:12:17 2003
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,ALKALI,ALKALI_FLAG_W,C14ERR,DELHER,THETA
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,UMOL/KG,,UATM,,UMOL/KG,,/MILLE,PERCNT,DEG C
      320696_3,  S04I,     1,  1,     32,     32,2,19960516,0824,-58.0080,  20.0057, 5346,     14.2,   0.0149,  33.8136,7,  33.8095,2,    356.3,4,    342.1,2,    41.10,2,    23.03,2,     0.26,2,     1.69,4,    6.217,2,    3.047,2,-999.0000,9,  -999.00,9,    -83.9,2,     1.55,2,   2159.6,2,    394.3,2,   2294.0,6,     3.1,-999.000,  0.0144
      320696_3,  S04I,     1,  1,     31,     31,2,19960516,0824,-58.0080,  20.0057, 5346,     29.5,   0.0147,  33.8137,7,  33.8108,3,    339.0,4,    341.7,2,    41.03,2,    23.03,2,     0.26,2,     1.71,4,    6.066,2,    3.107,2,-999.0000,9,  -999.00,9,    -90.1,2,     1.53,2,   2157.9,2,    395.5,2,   2296.0,2,     3.2,-999.000,  0.0137
      320696_3,  S04I,     1,  1,     30,     30,2,19960516,0824,-58.0080,  20.0057, 5346,     51.8,   0.0220,  33.8139,7,  33.8093,2,    329.9,4,    341.3,2,    40.75,2,    23.02,2,     0.26,2,     1.68,4,    6.438,2,    3.150,2,-999.0000,9,  -999.00,9,    -83.1,2,     1.56,2,   2159.0,2,    393.4,2,   2295.0,2,     3.1,-999.000,  0.0202
      320696_3,  S04I,     1,  1,     29,     29,2,19960516,0824,-58.0080,  20.0057, 5346,     80.4,   0.0214,  33.8178,7,  33.8112,2,    318.1,4,   -999.0,5,    40.88,2,    23.07,2,     0.26,2,     1.68,4,    6.335,2,    3.129,2,-999.0000,9,  -999.00,9,    -82.6,2,     1.58,2,   2157.9,2,    395.1,2,   2297.0,2,     3.1,-999.000,  0.0186
      320696_3,  S04I,     1,  1,     28,     28,2,19960516,0824,-58.0080,  20.0057, 5346,    109.7,  -1.1271,  34.1282,7,  34.1211,2,    359.1,4,    338.6,2,    65.99,2,    27.64,2,     0.43,2,     2.08,4,    6.565,2,    3.270,2,-999.0000,9,  -999.00,9,   -106.4,2,     1.07,2,   2199.4,2,    472.8,2,   2313.0,2,     3.4,-999.000, -1.1299
      320696_3,  S04I,     1,  1,     27,     27,2,19960516,0824,-58.0080,  20.0057, 5346,    152.3,  -0.5060,  34.3513,7,  34.3464,2,    310.3,4,    280.7,2,    80.32,2,    31.10,2,     0.02,2,     2.17,4,    4.528,2,    2.164,2,-999.0000,9,  -999.00,9,   -125.0,2,     0.71,2,   2227.9,2,    540.6,2,   2326.0,2,     2.9,-999.000, -0.5109
      320696_3,  S04I,     1,  1,     26,     26,2,19960516,0824,-58.0080,  20.0057, 5346,    195.2,   0.5761,  34.5701,7,  34.5675,2,    224.1,4,    213.6,2,    93.28,2,    32.96,2,     0.01,2,     2.27,4,    1.866,2,    0.873,2,-999.0000,9,  -999.00,9,   -146.0,2,     0.41,2,   2255.5,2,    610.1,2,   2339.0,2,     4.0,-999.000,  0.5679
      320696_3,  S04I,     1,  1,     25,     25,2,19960516,0824,-58.0080,  20.0057, 5346,    247.3,   0.7125,  34.6423,7,  34.6431,2,    203.7,2,    202.7,2,   101.64,2,    32.90,2,     0.01,2,     2.31,4,    1.008,2,    0.508,2,-999.0000,9,  -999.00,9,   -155.5,2,     0.36,2,   2260.6,2,    603.1,2,   2347.0,2,     4.3,-999.000,  0.7018
      320696_3,  S04I,     1,  1,     24,     24,2,19960516,0824,-58.0080,  20.0057, 5346,    297.2,   0.6818,  34.6598,7,  34.6593,2,    200.6,2,    201.5,2,   105.98,2,    33.04,2,     0.01,2,     2.35,4,    0.811,2,    0.427,2,-999.0000,9,  -999.00,9,   -154.2,2,     0.35,2,   2261.1,2,    602.7,2,   2349.0,2,     2.9,-999.000,  0.6688
      320696_3,  S04I,     1,  1,     23,     23,2,19960516,0824,-58.0080,  20.0057, 5346,    398.2,   0.7091,  34.6841,7,  34.6844,2,    197.1,2,     19.9,4,   111.34,2,    32.84,2,     0.01,2,     2.28,4,    0.463,2,    0.246,2,-999.0000,9,  -999.00,9,   -157.5,2,     0.29,2,   2264.3,2,    602.5,2,   2354.0,2,     3.1,-999.000,  0.6913
      320696_3,  S04I,     1,  1,     22,     22,2,19960516,0824,-58.0080,  20.0057, 5346,    549.1,   0.5558,  34.6850,7,  34.6858,2,    200.4,2,    201.6,2,   117.31,2,    33.14,2,     0.01,2,     2.29,4,    0.356,2,    0.199,2,-999.0000,9,  -999.00,9,   -159.6,2,     0.32,2,   2264.8,2,    600.4,2,   2355.0,2,     3.3,-999.000,  0.5312
      320696_3,  S04I,     1,  1,     21,     21,2,19960516,0824,-58.0080,  20.0057, 5346,    700.5,   0.4621,  34.6833,7,  34.6862,2,    201.5,2,    201.4,2,   121.06,2,    33.28,2,     0.01,2,     2.28,4,    0.239,2,    0.142,2,-999.0000,9,  -999.00,9,   -167.7,2,     0.36,2,   2268.4,2,    607.3,2,   2355.0,2,     3.5,-999.000,  0.4304
      320696_3,  S04I,     1,  1,     20,     20,2,19960516,0824,-58.0080,  20.0057, 5346,    900.7,   0.3669,  34.6828,7,  34.6836,2,    204.4,2,    203.4,2,   124.62,2,    33.38,2,     0.01,2,     2.31,4,    0.191,2,    0.071,2,-999.0000,9,  -999.00,9,   -168.7,2,     0.31,2,   2268.4,2,    601.3,2,   2355.0,2,     3.2,-999.000,  0.3252
      320696_3,  S04I,     1,  1,     19,     19,2,19960516,0824,-58.0080,  20.0057, 5346,   1156.0,   0.2462,  34.6792,7,  34.6803,2,    209.4,2,    208.1,2,   126.95,2,    33.23,2,     0.00,2,     2.32,4,    0.160,2,    0.097,2,-999.0000,9,  -999.00,9,   -163.0,2,     0.38,2,   2266.0,2,    593.5,2,   2356.0,2,     2.9,-999.000,  0.1912
      320696_3,  S04I,     1,  1,     18,     18,2,19960516,0824,-58.0080,  20.0057, 5346,   1410.1,   0.1364,  34.6748,7,  34.6754,2,    213.9,2,    214.6,2,   128.48,2,    33.13,2,     0.00,2,     2.31,4,    0.170,2,    0.109,2,-999.0000,9,  -999.00,9,   -160.3,2,     0.40,2,   2263.9,2,    590.6,2,   2358.0,2,     4.8,-999.000,  0.0675
      320696_3,  S04I,     1,  1,     17,     17,2,19960516,0824,-58.0080,  20.0057, 5346,   1768.4,   0.0046,  34.6693,7,  34.6691,2,    220.3,2,    220.2,2,   129.18,2,    33.02,2,     0.00,2,     2.30,4,    0.159,2,    0.094,2,-999.0000,9,  -999.00,9,   -156.1,2,     0.40,2,   2260.9,2,    584.7,2,   2354.0,2,     3.0,-999.000, -0.0854
