BOTTLE,20090511PRINUNIVRMK
# File initialized 6/28/07 
#  Data from CCHDO 6/27/07 
# Shipn: Edwin Link 
# Cruise; WOCE AR04h; ETAMBO2 
# Dates:4/15-5/16/1996 
# EXPOCODE 33LK19960415 
# Region: West Equatorial Atlantic (off Brazil) 
# Chief Scientist:Y. Gouriou 
# 94 full depth stations;  with 24 place Rosette 
# Hydro: Who - Y.Gouriou; Status - final 
# 	Notes:See Oudot et al., 1999; Gouriou et al. 1999. 
# Nuts/O2: Who - C.Oudot; Status - final 
# 	Notes  
# TCO2: Who - J.Ternon,C.Oudot; Status - final 
# 	Notes: CRM used 
# 	Mean difference of duplicates 9.7umol/kg 
# fCO2: Who -J.Ternon,C.Oudot; Status - final; S Plus - up to date 
# 	Notes: Near surface samples (0-65m) only 
# 	Measured at 28C, reported at in situ T/P 
# 	Std. Dev. of replicates 2.2uatm 
# 	See Ternon et al., 2000. 
# pH: Who - J.Ternon,C.Oudot; Status - final 
# 	Notes: potentiometric method 
# 	Converted to pHSWS@25C. Orignially measured at 25C, reported at in situ T/P on total H+ scale 
# 	Std. Dev. of replicates 0.003 
# CFC: Who - C.Andrie; Status - final 
# 	Notes: some results removed due to contamination 
# 	See Andrie et al., 1999. 
# Other: ChloroA, but no data in file 
# References: 
# Andrie, C. J.-F. Ternon, B. fourles, Y. Gouriou and C. Oudot, Tracer distributions and deep circulation in the western tropical Atlantic during CITHER 1 and ETAMBOT cruises, 1993-1996, J. Geophys. Res., 21195-21216, 104, 1999. 
# Gouriou, Y., B. Bourles, H. Mercier, R. Chuchla, Deep jets in the equatorial Atlantic Ocean, J. Geophys. Res., 104, 21217-21226, 1999. 
# Oudot, C., F.F. Ternon, C. Andrie, E.S. Braga & P. Morin, On the crossing of the equator by intermediate water masses in the western Atlantic ocean : Identification and pathways of AAIW and UCPW. J. Geophys. Res., 104, 20911-20926, 1999. 
# Ternon, J.F., C. Oudot, D. Dessier and D. Diverres, A seasonal tropical sink for aatmospheric CO2 in the Atlantic Ocean: the role of the Amazon River discharge, Mar. Chem., 68, 183-201, 2000. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PH_SWS,PH_TEMP,PH_SWS_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,PPM,,,DEGC,,DEGC
  33LK19960415,  AR04,     1,  1,      4,2,19960416,  5.6812, -51.5600,   25,      2.0,  27.8022,  35.5156,2,  35.5086,2,    201.1,2,    197.5,2,     2.16,2,     0.07,2,     0.00,2,     0.00,2,   -9.000,9,   -9.000,9,   2000.1,2,    367.7,2,   8.1422,    25.00,2,  27.8017
  33LK19960415,  AR04,     1,  1,      3,2,19960416,  5.6812, -51.5600,   25,     38.7,  27.2568,  36.2013,2,  36.1971,2,    191.3,2,    194.1,2,     1.38,2,     0.55,2,     0.01,2,     0.00,2,   -9.000,9,   -9.000,9,   2028.0,2,     -9.0,9,   8.1352,    25.00,2,  27.2478
  33LK19960415,  AR04,     1,  1,      1,2,19960416,  5.6812, -51.5600,   25,     70.1,  26.8734,  36.2550,2,  36.2522,2,    191.3,2,    193.4,2,     1.48,2,     0.80,2,     0.02,2,     0.02,2,   -9.000,9,   -9.000,9,   2005.5,3,     -9.0,9,   8.1205,    25.00,2,  26.8573
  33LK19960415,  AR04,     1,  1,      2,2,19960416,  5.6812, -51.5600,   25,     70.5,  26.8703,  36.2547,2,  36.2519,2,    191.3,2,    193.7,2,     1.46,2,     0.82,2,     0.02,2,     0.01,2,   -9.000,9,   -9.000,9,   2049.0,2,     -9.0,9,   8.1305,    25.00,2,  26.8541
  33LK19960415,  AR04,     2,  1,      6,2,19960416,  5.8375, -51.4172,   25,      1.7,  27.8887,  36.1496,2,  36.1374,2,    196.0,2,    197.6,2,     1.09,2,     0.00,2,     0.00,2,     0.00,2,   -9.000,9,   -9.000,9,   2012.8,2,    372.3,2,   8.1434,    25.00,2,  27.8883
  33LK19960415,  AR04,     2,  1,      5,2,19960416,  5.8375, -51.4172,   25,     69.0,  27.8791,  36.2862,2,  36.2839,2,    194.2,2,    197.2,2,     1.01,2,     0.00,2,     0.00,2,     0.00,2,   -9.000,9,   -9.000,9,   2040.9,2,     -9.0,9,   8.1355,    25.00,2,  27.8628
  33LK19960415,  AR04,     2,  1,      4,2,19960416,  5.8375, -51.4172,   25,    129.1,  18.9432,  36.0357,2,  36.0481,2,    170.2,2,    169.4,2,     4.08,2,     7.95,2,     0.05,2,     0.58,2,   -9.000,9,   -9.000,9,   2142.2,2,     -9.0,9,   7.9742,    25.00,2,  18.9201
  33LK19960415,  AR04,     2,  1,      2,2,19960416,  5.8375, -51.4172,   25,    199.1,  12.6338,  35.2824,2,  35.2486,2,    138.6,2,    139.4,2,    10.72,2,    19.18,2,     0.04,2,     1.30,2,   -9.000,9,   -9.000,9,   2174.5,2,     -9.0,9,   7.7945,    25.00,2,  12.6069
  33LK19960415,  AR04,     2,  1,      3,2,19960416,  5.8375, -51.4172,   25,    200.2,  12.6301,  35.2820,2,  35.2440,2,    138.4,2,    138.8,2,    10.76,2,    19.31,2,     0.04,2,     1.31,2,   -9.000,9,   -9.000,9,   2171.6,2,     -9.0,9,   7.7945,    25.00,2,  12.6030
  33LK19960415,  AR04,     2,  1,      1,2,19960416,  5.8375, -51.4172,   25,    254.2,  10.0600,  34.9716,2,  35.0126,2,    132.0,2,    129.2,2,    13.55,2,    23.34,2,     0.02,2,     1.58,2,   -9.000,9,   -9.000,9,   2176.6,2,     -9.0,9,   7.7392,    25.00,2,  10.0303
  33LK19960415,  AR04,     3,  1,      8,9,19960416,  5.8508, -51.4092,   25,      3.0,  28.0003,  36.1742,2,  -9.0000,9,     -9.0,4,     -9.0,9,    -9.00,9,    -9.00,9,    -9.00,9,    -9.00,9,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,  27.9996
  33LK19960415,  AR04,     3,  1,      7,2,19960416,  5.8508, -51.4092,   25,     48.3,  27.9367,  36.2854,2,  36.2782,2,    199.8,2,    197.3,2,     1.01,2,     0.01,2,     0.00,2,     0.00,2,   -9.000,9,   -9.000,9,   2029.0,2,    372.2,2,   8.1457,    25.00,2,  27.9253
  33LK19960415,  AR04,     3,  1,      6,2,19960416,  5.8508, -51.4092,   25,     99.6,  23.9516,  36.3083,2,  36.3203,2,    190.7,2,    183.4,2,     2.43,2,     3.51,2,     0.15,2,     0.24,2,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,  23.9306
  33LK19960415,  AR04,     3,  1,      5,2,19960416,  5.8508, -51.4092,   25,    150.4,  16.2876,  35.7083,2,  35.6385,2,    167.1,2,    160.9,2,     6.40,2,    12.79,2,     0.04,2,     0.84,2,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,  16.2634
