BOTTLE,20140529PRINUNIVRMK
# Data source: AOML 11/5/97 with subsequent updates 
# SHIP: Malcolm Baldrige 
# Cruise: OACES93; NATL93; 3175MB93 
# Region: A16; Fortaleza, Brazil - Madeira - Iceland in 3 legs 
# EXPOCODE:33MW19930704 
# Alias: 317519930704 
# DATES:7/4/93 - 8/29/93 
# Chief Scientist: R. Wanninkhof; D. Atwood 
#  83 stations with 24 place Rosette 
# Hydro: Who - Wanninkhof/Johns; Status - final 
# 	Notes: original cast numbers morphed into something useful 
# 		on 6/17/02 
# Nuts/O2: Who - Berberian/Wanninkhof; Status - final  
# 	Notes: AOML noted O2 values low and recommend adding 7.5umol/kg 
# 		to all measured values. Correction made to OTL database values 
# 	4/13/05 the 7.5umol/kg oxygen correction backed out of data file to 
# 		prevent "double adjustment" when "adjustdata" is applied.  
# 		Gouretski's 5.05umol/kg adjustment can be appliied at that time 
# 		if desired. 
# 	Nutrient data may be problematic 
# TCO2: Who - R. Feely; Status - final  
# 	Notes:  
# AnthCO2 data from K. Lee 8/4/03 
# 	Additional QC by Key 
# TA: Who - F. Millero; Status - final 
# 	Notes:  
# pCO2: Who - R. Feely; Status - final  
# 	Notes: Underway data also collected 
# 	pCO2 values are pco2 @ 20C 
# pH: Who - F. Millero; Status - final   
# 	Notes: spectrophotometric pH at 20 C 
# 	11/26/07 added phf(all set to 2) and pht==20 to file 
# 	5/29/14 data are on SWS, correct column header accordingly 
# CFC: Who - J. Bullister; Status - final  
# 	Notes:    
# C-14: Who Key, McNichol,Quay; Status - final 
# 	Notes: Data from NOSAMS 12/21/04 
# 	The NOSAMS file also included C13, but these were not merged 
# 		since Quay's original data superior due to less handling 
# 		and time delay 
# C-13: Who - P. Quay; Status - final  
# 	Notes: data from Stutsman 9/9/99 
# 	QC by Key 
# Other: Productivity (F. Chavez) 
# 	Chlorophyll a 
# 	Phaeophytin 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,CHLORA,PHAEO,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,,,DEG C,UG/KG,UG/KG,/MILLE,,/MILLE,/MILLE,,DEG C
  33MW19930704,  A16N,     1,  1,      1,2,19930706,   0, -4.5955, -28.8788, 5165,   2501.7,   3.0150,  34.9390,2,   -999.0,9,    28.36,2,    20.25,2,     0.04,2,     1.43,2,    0.017,2,    0.014,2,   2178.1,2,   -999.0,9,    736.4,2,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8146
  33MW19930704,  A16N,     1,  1,      2,2,19930706,   0, -4.5955, -28.8788, 5165,   2501.9,   3.0180,  34.9380,2,   -999.0,9,    28.39,2,    20.38,2,     0.05,2,     1.36,2,    0.017,2,    0.010,2,   -999.0,9,   -999.0,9,    743.9,2,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8175
  33MW19930704,  A16N,     1,  1,      3,2,19930706,   0, -4.5955, -28.8788, 5165,   2501.0,   3.0170,  34.9380,2,   -999.0,9,    28.48,2,    20.24,2,     0.05,2,     1.38,2,    0.017,2,    0.016,2,   2176.8,2,   -999.0,9,    747.2,2,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8166
  33MW19930704,  A16N,     1,  1,      4,2,19930706,   0, -4.5955, -28.8788, 5165,   2502.6,   3.0160,  34.9370,2,   -999.0,9,    28.46,2,    20.09,2,     0.04,2,     1.35,2,    0.024,2,    0.016,2,   -999.0,9,   -999.0,9,    742.0,2,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8155
  33MW19930704,  A16N,     1,  1,      5,2,19930706,   0, -4.5955, -28.8788, 5165,   2501.1,   3.0160,  34.9380,2,   -999.0,9,    28.49,2,    20.53,2,     0.05,2,     1.37,2,    0.024,2,    0.030,2,   2174.9,2,   -999.0,9,    740.9,2,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8156
  33MW19930704,  A16N,     1,  1,      6,2,19930706,   0, -4.5955, -28.8788, 5165,   2501.2,   3.0160,  34.9370,2,   -999.0,9,    28.57,2,    20.37,2,     0.05,2,     1.37,2,    0.011,2,    0.009,2,   2175.6,2,   -999.0,9,    747.6,2,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8156
  33MW19930704,  A16N,     1,  1,      7,2,19930706,   0, -4.5955, -28.8788, 5165,   2501.9,   3.0160,  34.9420,2,   -999.0,9,    27.07,2,    20.27,2,     0.00,2,     1.35,2,    0.014,2,    0.010,2,   2174.9,2,   -999.0,9,    740.6,2,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8155
  33MW19930704,  A16N,     1,  1,      8,3,19930706,   0, -4.5955, -28.8788, 5165,   2501.2,   3.0160,  34.9370,3,   -999.0,9,    28.49,2,    20.52,2,     0.04,2,     1.36,2, -999.000,9, -999.000,9,   2175.5,3,   -999.0,9,    743.4,3,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8156
  33MW19930704,  A16N,     1,  1,      9,3,19930706,   0, -4.5955, -28.8788, 5165,   2501.8,   3.0170,  34.9390,3,   -999.0,9,    28.47,2,    20.34,2,     0.05,2,     1.39,2,    0.014,3,    0.009,3,   2175.5,3,   -999.0,9,    738.4,3,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8165
  33MW19930704,  A16N,     1,  1,     10,2,19930706,   0, -4.5955, -28.8788, 5165,   2501.9,   3.0170,  34.9380,2,    244.2,2,    28.66,2,    20.55,2,     0.06,2,     1.40,2,    0.017,2,    0.015,2,   2174.7,2,   -999.0,9,    742.3,2,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8165
  33MW19930704,  A16N,     1,  1,     11,2,19930706,   0, -4.5955, -28.8788, 5165,   2502.6,   3.0160,  34.9380,2,    244.6,2,    28.70,2,    21.04,2,     0.05,2,     1.37,2,    0.024,2,    0.014,2,   2174.4,2,   -999.0,9,    742.5,2,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8155
  33MW19930704,  A16N,     1,  1,     12,2,19930706,   0, -4.5955, -28.8788, 5165,   2501.1,   3.0180,  34.9390,2,    244.2,2,    28.48,2,    20.36,2,     0.04,2,     1.36,2,    0.010,2,    0.006,2,   -999.0,9,   -999.0,9,    736.3,2,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8176
  33MW19930704,  A16N,     1,  1,     13,2,19930706,   0, -4.5955, -28.8788, 5165,   2502.3,   3.0190,  34.9400,2,    245.9,2,    28.61,2,    21.64,2,     0.04,2,     1.25,2,    0.023,6,    0.011,6,   2174.6,2,   -999.0,9,    733.4,2,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8185
  33MW19930704,  A16N,     1,  1,     14,2,19930706,   0, -4.5955, -28.8788, 5165,   2501.5,   3.0190,  34.9390,2,    244.6,2,    28.64,2,    20.27,2,     0.05,2,     1.36,2,    0.037,2,    0.015,2,   2167.6,2,   -999.0,9,    740.8,2,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8185
  33MW19930704,  A16N,     1,  1,     15,2,19930706,   0, -4.5955, -28.8788, 5165,   2501.8,   3.0170,  34.9430,2,   -999.0,9,    28.42,2,    20.62,2,     0.04,2,     1.36,2,    0.014,2,    0.016,2,   2175.0,2,   -999.0,9,    739.7,2,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8165
  33MW19930704,  A16N,     1,  1,     16,2,19930706,   0, -4.5955, -28.8788, 5165,   2502.6,   3.0190,  34.9380,2,   -999.0,9,    28.60,2,    20.54,2,     0.04,2,     1.41,2,    0.016,2,    0.015,2,   2170.7,2,   -999.0,9,    743.8,2,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8184
  33MW19930704,  A16N,     1,  1,     17,2,19930706,   0, -4.5955, -28.8788, 5165,   2501.2,   3.0200,  34.9380,2,   -999.0,9,    28.58,2,    20.39,2,     0.04,2,     1.35,2,    0.035,2,    0.022,2,   2174.5,2,   -999.0,9,    740.5,2,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8196
  33MW19930704,  A16N,     1,  1,     18,2,19930706,   0, -4.5955, -28.8788, 5165,   2501.7,   3.0200,  34.9400,2,   -999.0,9,    28.44,2,    20.22,2,     0.03,2,     1.35,2,    0.022,2,    0.017,2,   2174.8,2,   -999.0,9,    743.5,2,-999.0000,9,  -999.00,  -999.00,  -999.00,   -999.0,9,   -999.0,  -999.00,9,   2.8195
