BOTTLE,20191216PRINUNIVRMK
# 7/16/2012 Initialized README file  
# Data source: CCHDO/CDIAC 
# SHIP: Ron Brown 
# Cruise: A10 
# Region: 30S across Atlantic 
# EXPOCODE:33RO20110926 
# DATES: 9/26 - 10/31/2011 
# Chief Scientist: M.Barringer;A.Macdonald 
# 120 stations with 24 place Rosette 
# Hydro: Who - K.McTaggart/ODF; Status - final 
# 	Notes: 	bottle numbers corrected 12/16/19 
# Nuts: Who - C.Mordy; Status - final 
# 	Notes: Final data 1/14/14 
# O2: Who - C.Langdon; Status - final 
# 	Notes: Revised data/flags rcd 7/8/13 from C.L. 
# TCO2: Who - R.Feely;R.Wanninkhof; Status - final 
# 	Notes:  
# TA: Who - F. Millero; Status - final 
# 	Notes:  
# pH: Who - F. Millero; Status - final 
# 	Notes: SWS @ 25C 
# 	Values are potentiometric, not spec. because of a problem with 
# 		the spec. indicator 
# CFC: Who - J.Bullister; Status - final 
# 	Notes: data from ullister 8/23/13 
# C14: Who - E.Druffel,R.Key,A.McNichol; Status - final 
# 	Notes: Surface samples run at NOSAMS 
# 	Stations 35,54,67 14C-DOC, 13C-DOC  
# 		see Druffel et al. 2016. Merged 7/18/2019 
# H3/He3: Who - P.Schlosser/W.Jenkins; Status - being measured 
# 	Notes:  
# Other: Who - ; Status - 
# 	Notes:  
# References: 
# Druffel, E. R. M., S. Griffin, A.I. Coppola and B.D. Walker (2016),Radiocarbon in dissolved organic carbon of the Atlantic Ocean, Geophys. Res. Lett., 43, doi:10.1002/2016GL068746. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,14C-DOC,14C-DOC_FLAG_W,14C-DOCERR,13C-DOC,13C-DOC_FLAG_W,13C-DOCERR,THETA
,,,,,,,,,,,METERS,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,,,DEG C,UMOL/KG,,UMOL/KG,,/MILLE,,/MILLE,/MILLE,,/MILLE,,/MILLE,/MILLE,,/MILLE,DEG C
  33RO20110926,   A10,     1,  2,      9,  11706,2,20110928,0604,-28.5128,  14.9492,  310,   4.7000,      4.7,  14.4560,  34.9876,2,  34.9891,2,    254.9,2,    260.6,2,     8.70,2,     4.90,2,     0.23,2,     0.62,2,    2.917,2,    1.678,2,    1.579,2,    3.207,3,   2083.4,2,   2320.2,6,-999.0000,9,   7.9158,6,    25.00,     64.3,2,    10.02,2,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  14.4553
  33RO20110926,   A10,     1,  2,      8,  11033,2,20110928,0604,-28.5128,  14.9492,  310,  14.6000,     14.6,  14.4506,  34.9873,2,  34.9903,2,    255.3,2,    260.8,2,     8.70,2,     4.90,2,     0.22,2,     0.62,2, -999.000,5, -999.000,5,     -999,5, -999.000,5,   2084.6,6,   2319.6,2,-999.0000,9,   7.9259,2,    25.00,     65.7,2,    11.33,2,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  14.4485
  33RO20110926,   A10,     1,  2,      7,  11705,2,20110928,0604,-28.5128,  14.9492,  310,  25.1000,     25.1,  14.4501,  34.9872,2,  34.9915,2,    255.7,2,    260.9,2,     8.70,2,     4.80,2,     0.23,2,     0.62,2,    2.894,2,    1.681,2,    1.623,2,    3.453,3,   2084.7,2,   2318.8,2,-999.0000,9,   7.9259,2,    25.00,     63.4,2,    10.43,2,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  14.4464
  33RO20110926,   A10,     1,  2,      6,  11029,2,20110928,0604,-28.5128,  14.9492,  310,  51.5000,     51.5,  14.3265,  35.0131,2,  35.0147,2,    251.2,2,    251.5,2,     7.80,6,     5.40,6,     0.27,6,     0.67,6,    2.867,2,    1.671,2,     1.66,2,    3.026,3,   2094.5,2,   2320.4,2,-999.0000,9,   7.9088,2,    25.00,     62.0,2,    13.34,2,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  14.3190
  33RO20110926,   A10,     1,  2,      5,  11704,2,20110928,0604,-28.5128,  14.9492,  310,  75.9000,     75.9,  12.4322,  34.9889,2,  34.9932,2,    204.4,2,    207.1,2,     7.50,2,    13.80,2,     0.14,2,     1.04,2,    3.018,2,    1.720,2,    1.397,2,    1.919,3,   2135.5,2,   -999.0,5,-999.0000,9,   7.7916,2,    25.00,     56.4,2,    19.99,2,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  12.4221
  33RO20110926,   A10,     1,  2,      4,  11030,2,20110928,0604,-28.5128,  14.9492,  310,  99.0000,     99.0,  10.8527,  34.8840,2,  34.8874,2,    200.7,2,    199.5,2,     6.80,2,    16.30,2,     0.06,2,     1.15,2,    3.173,2,    1.761,2,    1.232,2,    1.089,3,   2145.0,2,   2302.1,2,-999.0000,9,   7.7515,2,    25.00,     46.2,2,    19.71,2,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  10.8407
  33RO20110926,   A10,     1,  2,      3,  11703,2,20110928,0604,-28.5128,  14.9492,  310, 125.0000,    125.0,  10.4679,  34.8420,2,  34.8406,2,    196.7,2,    193.5,2,     8.00,2,    17.90,2,     0.06,2,     1.25,2,    3.182,2,    1.743,2,    1.168,2,    1.178,3,   2152.7,2,   2301.8,2,-999.0000,9,   7.7214,2,    25.00,     46.2,2,    21.30,2,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  10.4530
  33RO20110926,   A10,     1,  2,      2,  11702,2,20110928,0604,-28.5128,  14.9492,  310, 152.3000,    152.3,   9.9705,  34.7920,2,  34.7957,2,    153.7,2,    152.5,2,    12.40,6,    22.00,6,     0.03,6,     1.57,6,    3.023,2,    1.665,2,    1.052,2,    1.219,3,   2187.3,2,   2298.8,2,-999.0000,9,   7.6444,2,    25.00,     49.1,2,    27.29,2,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,   9.9529
  33RO20110926,   A10,     1,  2,      1,  11701,2,20110928,0604,-28.5128,  14.9492,  310, 169.2000,    169.2,   9.9300,  34.7869,2,  34.7868,2,    153.6,2,    153.0,2,    12.60,2,    21.70,2,     0.04,2,     1.58,2,    3.036,6,    1.681,6,     1.07,6,    1.140,3,   2189.0,2,   2296.0,4,-999.0000,9,   7.6339,6,    25.00,     48.2,2,    27.34,2,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,   9.9105
  33RO20110926,   A10,     2,  1,     12,  11027,2,20110928,0919,-28.7159,  14.4665, 1005,   4.1000,      4.1,  14.8869,  35.0350,2,  35.0375,2,    253.6,2,    259.0,2,     7.30,2,     4.40,2,     0.19,2,     0.54,2,    2.814,6,    1.646,6,    1.577,6,    3.059,3,   2077.9,6,   2321.6,6,-999.0000,9,   7.9323,6,    25.00,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  14.8863
  33RO20110926,   A10,     2,  1,     13,  11031,2,20110928,0919,-28.7159,  14.4665, 1005,   4.0000,      4.0,  14.8830,  35.0351,2,  35.0572,2,    253.6,9,   -999.0,9,     7.30,2,     4.50,2,     0.19,2,     0.54,2, -999.000,9, -999.000,9,     -999,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  14.8824
  33RO20110926,   A10,     2,  1,     11,  11707,2,20110928,0919,-28.7159,  14.4665, 1005,  34.2000,     34.2,  14.7622,  35.0616,2,  35.0619,2,    253.0,2,    256.1,2,     6.80,2,     4.60,2,     0.21,2,     0.53,2,    2.826,2,    1.648,2,    1.557,2,    3.029,3,   2081.8,2,   2322.3,4,-999.0000,9,   7.9208,2,    25.00,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  14.7571
  33RO20110926,   A10,     2,  1,     10,  11003,2,20110928,0919,-28.7159,  14.4665, 1005,  50.3000,     50.3,  14.6300,  35.1283,2,-999.0000,9,    247.2,9,   -999.0,9,     5.60,6,     4.90,6,     0.28,6,     0.52,6, -999.000,9, -999.000,9,     -999,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  14.6225
  33RO20110926,   A10,     2,  1,      9,  11706,2,20110928,0919,-28.7159,  14.4665, 1005,  64.5000,     64.5,  14.2413,  35.1604,2,-999.0000,9,    235.6,9,   -999.0,9,     5.20,2,     6.60,2,     0.40,2,     0.61,2, -999.000,9, -999.000,9,     -999,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  14.2319
  33RO20110926,   A10,     2,  1,      8,  11033,2,20110928,0919,-28.7159,  14.4665, 1005,  64.2000,     64.2,  14.2213,  35.1578,2,  35.1661,2,    235.1,2,    237.1,2,     5.20,2,     6.70,2,     0.39,2,     0.62,2,    2.827,2,    1.642,2,    1.475,2,    2.472,3,   2099.9,2,   2324.7,2,-999.0000,9,-999.0000,5,  -999.00,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  14.2119
  33RO20110926,   A10,     2,  1,      7,  11705,2,20110928,0919,-28.7159,  14.4665, 1005,  88.3000,     88.3,  12.8365,  35.0778,2,  35.0908,2,    211.9,2,    212.2,2,     5.70,2,    11.60,2,     0.09,2,     0.88,2,    2.976,2,    1.682,2,    1.353,2,    1.705,3,   2125.8,2,   2312.2,2,-999.0000,9,   7.8156,2,    25.00,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  12.8245
