BOTTLE,20140922CDIACAK
#code : jjward hyd_to_exchange.pl
#original files copied from HTML directory: Aug. 19,2002
#original HYD file: a06hy.txt   Mon Aug 19 12:58:19 2002
#original SUM file: a06su.txt   Mon Aug 19 13:04:08 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,CHLA,CHLA_FLAG_W,OXYNIT,OXYNIT_FLAG_W,ARGON,ARGON_FLAG_W,CTDRAW,PHAEO,PHAEO_FLAG_W,THETA,METHAN,METHAN_FLAG_W,AZOTE,AZOTE_FLAG_W
,,,,,,,,,,,,DBAR,DEG C,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,%,,UMOL/KG,,UATM,,,,DEG C,UG/L,,NMOL/KG,,UMOL/KG,,DBAR,UG/L,,DEG C,NMOL/KG,,UMOL/KG,
 35A3CITHER1_2,   A06,120,1,9,9,2,19930213,2032,5.7605,-51.3117,195,1,26.881,36.383,2,36.389,3,196.2,2,203.7,3,1.59,2,0.02,2,0,2,0.06,2,1.795,2,0.951,2,-999,9,-999,9,-999,9,2019.7,3,425.3,2,8.0905,2,25,0.09,2,-999,9,10.45,2,5,0.03,2,26.8808,-999,9,385.3,2
 35A3CITHER1_2,   A06,120,1,8,8,2,19930213,2032,5.7605,-51.3117,195,25.1,26.866,36.376,2,36.377,2,203,2,212.2,3,1.61,2,0.02,2,0,2,0.06,2,1.791,2,0.944,2,-999,9,-999,9,-999,9,2037.2,2,-999,9,8.0901,2,25,-999,9,-999,9,10.29,2,31,-999,9,26.8602,-999,9,381.9,2
 35A3CITHER1_2,   A06,120,1,7,7,2,19930213,2032,5.7605,-51.3117,195,44.5,26.828,36.372,2,36.372,2,201.2,2,209.2,3,1.61,2,0.02,2,0,2,0.07,2,1.797,2,0.957,2,-999,9,-999,9,-999,9,2048.3,2,-999,9,8.0913,2,25,-999,9,-999,9,10.19,2,50,-999,9,26.8178,-999,9,382.8,2
 35A3CITHER1_2,   A06,120,1,6,6,2,19930213,2032,5.7605,-51.3117,195,68.2,26.785,36.387,2,36.393,3,201.7,2,203.2,2,1.61,2,0.06,2,0,2,0.07,2,-999,9,-999,9,-999,9,-999,9,-999,9,2043.6,2,-999,9,8.0916,2,25,-999,9,-999,9,10.34,2,74,-999,9,26.7694,-999,9,383.5,2
 35A3CITHER1_2,   A06,120,1,5,5,2,19930213,2032,5.7605,-51.3117,195,121.1,19.983,36.195,2,36.205,3,187,2,181.7,2,3.11,2,6.23,2,0.01,2,0.54,2,1.79,2,0.908,2,-999,9,-999,9,-999,9,2119,2,-999,9,7.9699,2,25,-999,9,-999,9,11.59,2,127,-999,9,19.9605,-999,9,428.9,2
 35A3CITHER1_2,   A06,120,1,4,4,2,19930213,2032,5.7605,-51.3117,195,146.2,12.797,35.347,2,35.358,3,171,2,150.4,3,7.72,2,18.51,2,0,2,1.19,2,1.275,2,0.64,2,-999,9,-999,9,-999,9,2182.5,2,-999,9,7.7885,2,25,-999,9,-999,9,13.04,2,153,-999,9,12.7771,-999,9,481.4,2
 35A3CITHER1_2,   A06,120,1,3,3,2,19930213,2032,5.7605,-51.3117,195,146.6,13.202,35.369,2,35.451,3,169.9,2,150.3,3,7.18,2,17.5,2,0,2,1.15,2,1.317,2,0.666,2,-999,9,-999,9,-999,9,2154.9,2,-999,9,7.8017,2,25,-999,9,-999,9,13.29,2,153,-999,9,13.1816,-999,9,479,2
 35A3CITHER1_2,   A06,120,1,2,2,2,19930213,2032,5.7605,-51.3117,195,174.2,11.31,35.083,2,35.087,2,-999,9,154.6,3,9.05,2,20.9,2,0,2,1.38,2,1.14,2,0.568,2,-999,9,-999,9,-999,9,2171.1,2,-999,9,7.7496,2,25,-999,9,-999,9,13.72,2,181,-999,9,11.2881,-999,9,497.1,2
 35A3CITHER1_2,   A06,120,1,1,1,2,19930213,2032,5.7605,-51.3117,195,174.5,11.338,35.089,2,35.093,2,-999,9,153.4,3,9.05,2,20.87,2,0,2,1.42,2,1.148,2,0.563,2,-999,9,-999,9,-999,9,2165.8,2,-999,9,7.75,2,25,-999,9,-999,9,13.5,2,181,-999,9,11.3161,-999,9,496.4,2
