BOTTLE,20090514PRINUNIVRMK
# File initialized 6/28/07 
# Data from CCHDO 6/27/07 
# Ship:Le Noroit 
# Cruise: WOCE AR04g; ETAMBOT1 
# Dates: 9/9-10/11/1995 
# EXPOCODE 35LU19950909 
# Region: West Equatorial Atlantic (off Brazil) 
# Chief Scientist:Y. Gouriou 
# 85 full depth stations;  with 24 place Rosette 
# Hydro: Who - Y.Gouriou; Status - final 
# 	Notes: See Oudot et al., 1999; Andrie et al. 1999. 
# Nuts/O2: Who -P.Fournier,C.Oudot; Status - finale 
# 	Notes  
# TCO2: Who - J.Ternon,C.Oudot; Status - final 
# 	Notes: CRM used 
# 	Mean difference of duplicates 6.8umol/kg 
# fCO2: Who -J.Ternon,C.Oudot; Status - final 
# 	Notes: Near surface samples (0-65m) only 
# 	Measured at 28C, reported at in situ T/P 
# 	Std. Dev. of replicates 2.9uatm 
# 	See Ternon et al., 2000. 
# pH: Who - J.Ternon,C.Oudot; Status - final  
# 	Notes: potentiometric method 
# 	Converted to SWS@25C. Originally measured at 25C, reported at in situ T/P on total H+ scale 
# 	Std. Dev. of replicates 0.002 
# Other: ChloroA and Phaeophytin; C.Oudot, J.Neveux  
# References: 
# Andrie, C. J.-F. Ternon, B. fourles, Y. Gouriou and C. Oudot, Tracer distributions and deep circulation in the western tropical Atlantic during CITHER 1 and ETAMBOT cruises, 1993-1996, J. Geophys. Res., 21195-21216, 104, 1999. 
# Oudot, C., F.F. Ternon, C. Andrie, E.S. Braga & P. Morin, On the crossing of the equator by intermediate water masses in the western Atlantic ocean : Identification and pathways of AAIW and UCPW. J. Geophys. Res., 104, 20911-20926, 1999. 
# Ternon, J.F., C. Oudot, D. Dessier and D. Diverres, A seasonal tropical sink for aatmospheric CO2 in the Atlantic Ocean: the role of the Amazon River discharge, Mar. Chem., 68, 183-201, 2000. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PH_SWS,PH_TEMP,PH_SWS_FLAG_W,CHLORA,CHLORA_FLAG_W,PHAEO,PHAEO_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,PPM,,,DEGC,,UG/L,,UG/L,,DEGC
  35LU19950909, AR04g,     1,  1,      3,2,19950909,  5.6743, -51.5560,   20,      2.2,  27.9348,  34.3115,2,  31.0991,2,    236.8,2,    253.2,2,     7.23,2,     0.03,2,     0.00,2,     0.00,2, -999.000,9, -999.000,9,   1698.8,2,   -999.0,9,   8.2550,    25.00,2,     0.15,2,     0.72,2,  27.9343
  35LU19950909, AR04g,     1,  1,      2,2,19950909,  5.6743, -51.5560,   20,     41.5,  26.3255,  36.2847,2,  36.2864,2,    199.7,2,    197.7,2,     0.81,2,     0.33,2,     0.11,2,     0.08,2, -999.000,9, -999.000,9,   2035.1,2,   -999.0,9,   8.0813,    25.00,2,  -999.00,9,  -999.00,9,  26.3161
  35LU19950909, AR04g,     1,  1,      1,2,19950909,  5.6743, -51.5560,   20,     67.9,  26.2662,  36.2868,2,  36.2859,2,    197.5,2,    197.8,2,     0.80,2,     0.37,2,     0.13,2,     0.08,2, -999.000,9, -999.000,9,   2047.7,2,   -999.0,9,   8.1014,    25.00,2,  -999.00,9,  -999.00,9,  26.2509
  35LU19950909, AR04g,     2,  1,      9,2,19950910,  5.8355, -51.4142,   30,      1.2,  28.1824,  33.5224,2,  33.0091,2,    205.8,2,    208.5,2,     7.32,2,     0.02,2,     0.00,2,     0.01,2, -999.000,9, -999.000,9,   1838.0,2,   -999.0,9,   8.1681,    25.00,2,     0.08,2,     0.11,2,  28.1821
  35LU19950909, AR04g,     2,  1,      8,2,19950910,  5.8355, -51.4142,   30,     22.2,  27.2597,  36.1964,2,  36.1880,2,    201.1,2,    203.9,2,     0.74,2,     0.02,2,     0.00,2,     0.04,2, -999.000,9, -999.000,9,   2023.0,2,   -999.0,9,   8.0946,    25.00,2,  -999.00,9,  -999.00,9,  27.2546
  35LU19950909, AR04g,     2,  1,      7,2,19950910,  5.8355, -51.4142,   30,     52.4,  26.6796,  36.2657,2,  36.2666,2,    200.5,2,    207.2,2,     0.51,2,     0.04,2,     0.00,2,     0.05,2, -999.000,9, -999.000,9,   2024.8,2,   -999.0,9,   8.0970,    25.00,2,  -999.00,9,  -999.00,9,  26.6676
  35LU19950909, AR04g,     2,  1,      6,2,19950910,  5.8355, -51.4142,   30,     74.2,  26.5653,  36.2545,2,  36.2574,2,    201.2,2,    199.0,2,     0.61,2,     0.04,2,     0.03,2,     0.08,2, -999.000,9, -999.000,9,   2035.1,2,   -999.0,9,   8.0960,    25.00,2,  -999.00,9,  -999.00,9,  26.5484
  35LU19950909, AR04g,     2,  1,      5,2,19950910,  5.8355, -51.4142,   30,     98.6,  26.3819,  36.2985,2,  36.3021,2,    196.4,2,    194.4,2,     0.61,2,     0.34,2,     0.23,2,     0.09,2, -999.000,9, -999.000,9,   2040.6,2,   -999.0,9,   8.0841,    25.00,2,  -999.00,9,  -999.00,9,  26.3596
  35LU19950909, AR04g,     2,  1,      4,2,19950910,  5.8355, -51.4142,   30,    147.7,  26.1146,  36.3106,2,  36.3104,2,    193.0,2,    193.0,2,     0.79,2,     0.55,2,     0.26,2,     0.13,2, -999.000,9, -999.000,9,   2046.3,2,   -999.0,9,   8.0718,    25.00,2,  -999.00,9,  -999.00,9,  26.0814
