BOTTLE,20090507PRINUNIVRMK
# 9/6/06 Original file from CCHDO  
# Ship: J.Hjort 
# Cruise: 58JH9207_1; WOCE line AR18b (at WHPO at 58JH1092_1) 
# Dates:7/12-7/28/1992 
# EXPOCODE  58JH19920712 
# Region: Around Iceland 
# Chief Scientist:J. Blindheim 
# 31 full depth stations;  with 12 place Rosette, 10l bottles 
# Hydro: Who - S. Osterhus; Status - final  
# 	Notes: NBIS Mark III (not to WOCE standards) 
# 	Accuracy of CTD salt values generally good only to 2 decimals 
# 	Bottle salt not collected for all samples;  
# 	Autosal; IAPSO batch 120; replicates almost always differed by less than 0.001 
# 	CtdSal values replaced with new values interpolated from file sent from J.Blindheim (10/15/08) 
# 	CTDSAL calibrated to bottle Salinity with CTDSALcorr= -0.6600 * 1.0189*CTDSAL  
# 		based on simple regression using data deeper than 300dB 
# Nuts: Who - F. Rey; Status - final   
# 	Notes: Reproducibility better than 1% for NO2,NO3,Si and less than 3% for PO4 
# 	Relative to JH9408: 
# 		nitrate high by ~1.5umol/kg 
# 		phosphate low by ~0.15umol/kg 
# 		some silicate low by ~1umol/kg 
# O2: Who - Eva Falck; Status - final 
# 	Notes: final oxygen data from A.Olsen 01/31/2008 
# TCO2: Who - J. Olafsson; Status - final  
# 	Notes: Data from J.Olafsson 10/20/06 
# 	Revised data from J.Olafsson 4/22/09; merged 4/24/09 
# pCO2: Who - J. Olafsson; Status - final  
# 	Notes: Data from Olafsson 10/20/06 reported at bottle theta 
# CFC: Who - E. Fogelqvist; Status - unknown  
# 	Notes: no data in file 
# C-14: Who - R. Nydal,J. Gislefoss; Status - final 
# 	Notes: 	Data from Gislefoss et al., 1995 
# 	8 profiles at stations 933,934,942,943,948,955,961 
# 	AMS at Arizona see Slota et al. 1987 for method; and Trondheim 
# C-13: Who - O.Jansen,H. Jungner; Status - final 
# 	Notes: Data from Gislefoss et al., 1995 
# 	8 profiles at stations 933,934,942,943,948,955,961 
# H-3/He-3: Who - R. Bayer; Status - unknown   
# 	Notes: 122 samples collected no data in file 
# References: 
# .  
# Slota, P.J., A.J.T. Jull, T.W. Linick and L.J. Toolin, Preparation of small samples for C14 accelerator targets by catalytic reduction of CO, Radiocarbon, 29(2), 303-306, 1987. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2TMP,PCO2_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,C14ERR,DELC14_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PPM,DEGC,,O/OO,,O/OO,O/OO,,DEGC
  58JH19920712,  AR18,   933,  2,     24,     12,2,19920715, 64.0010,  -4.9930, 3376,      5.5,   7.5010,  34.7975,2,-999.0000,9,    305.9,2,     0.32,2,     1.42,2,     0.07,2,     0.25,2,   2081.0,2,    285.4,   7.50047252,2,     1.85,2,     49.2,      4.1,2,   7.5005
  58JH19920712,  AR18,   933,  2,     23,     11,2,19920715, 64.0010,  -4.9930, 3376,     19.6,   7.4400,  34.7945,2,-999.0000,9,    308.2,2,     0.38,2,     1.57,2,     0.07,2,     0.25,2,   2084.4,2,    283.7,   7.43812759,2,  -999.00,9,   -999.0,   -999.0,9,   7.4381
  58JH19920712,  AR18,   933,  2,     22,     10,2,19920715, 64.0010,  -4.9930, 3376,     50.2,   4.0650,  34.8200,2,-999.0000,9,    311.4,2,     4.46,2,     8.25,2,     0.23,2,     0.86,2,   2138.7,2,    329.7,   4.06151328,2,     1.21,2,   -999.0,   -999.0,9,   4.0615
  58JH19920712,  AR18,   933,  2,     21,      9,2,19920715, 64.0010,  -4.9930, 3376,     74.6,   3.0870,  34.9528,2,-999.0000,9,    311.4,2,     5.57,2,    11.11,2,     0.42,2,     0.95,2,   2149.1,2,    346.5,   3.08237393,2,  -999.00,9,   -999.0,   -999.0,9,   3.0824
  58JH19920712,  AR18,   933,  2,     20,      8,2,19920715, 64.0010,  -4.9930, 3376,    100.4,   2.9330,  34.9680,2,-999.0000,9,    313.1,2,     5.54,2,    12.26,2,     0.49,2,     0.92,2,   2142.3,2,    343.1,   2.92687563,2,     1.13,2,     47.9,      4.2,2,   2.9269
  58JH19920712,  AR18,   933,  2,     19,      7,2,19920715, 64.0010,  -4.9930, 3376,    148.3,   2.6780,  34.9713,2,-999.0000,9,    315.0,2,     5.47,2,    12.80,2,     0.02,2,     0.90,2,   2142.0,2,    336.6,   2.66920177,2,  -999.00,9,   -999.0,   -999.0,9,   2.6692
  58JH19920712,  AR18,   933,  2,     18,      6,2,19920715, 64.0010,  -4.9930, 3376,    200.4,   2.4350,  34.9667,2,-999.0000,9,    314.3,2,     5.52,2,    12.84,2,     0.02,2,     0.91,2,   2144.6,2,    336.5,    2.4234224,2,     1.10,2,   -999.0,   -999.0,9,   2.4234
  58JH19920712,  AR18,   933,  2,     17,      5,2,19920715, 64.0010,  -4.9930, 3376,    249.7,   2.0870,  34.9598,2,-999.0000,9,    310.3,2,     5.66,2,    13.20,2,     0.01,2,     0.96,2,   2148.8,2,    337.2,   2.07318302,2,  -999.00,9,   -999.0,   -999.0,9,   2.0732
  58JH19920712,  AR18,   933,  2,     16,      4,2,19920715, 64.0010,  -4.9930, 3376,    301.2,   1.5550,  34.9368,2,-999.0000,9,    311.0,2,     5.82,2,    13.32,2,     0.01,2,     0.95,2,   2145.9,2,    338.2,   1.53952674,2,     1.07,2,   -999.0,   -999.0,9,   1.5395
