BOTTLE,20081218PRINUNIVRMKPRINUNIVRMK
# 9/6/06 Originals from CCHDO 
# Ship: J. Hjort 
# Cruise: 58JH0894_1 (WOCE AR18d), 58JH9408 
# Cruise dates: 7/23-8/16/1994 
# EXPOCODE: 58JH19940723 
# Region: Around Iceland, AR18 
# Chief Scientist:J. Blindheim 
# 74 full depth stations;  with 12 place Rosette 
# Hydro: Who - E. Buch; Status - final 
# 	Notes: Sea-bird 911; Guideline 8400 Autosal; IAPSO batch P124 
# Nuts: Who - F. Rey; Status - final 
# 	Notes: Visual endpoint with auto burette Winkler for oxygen precision better than 1umol/kg 
# 	Replicate nut. precision:NO2 - 0.1%, NO3 - 0.25%, PO4 - 1.5%, Si - 0.2% 
# O2: Who - Eva Falck; Status - final 
# 	Notes: final oxygen data from A.Olsen 01/31/2008 
# TCO2: Who - J. Olafsson/T. Takahashi; Status - final 
# 	Notes: Data from Olafsson 9/15/06 
# 	coulometry 
# 	CRM Batch 16 used; Precision of 1.3umol/kg  
# 	Values adjusted to CRM with factor of 1.0029 applied 
# 	See Chipman et al., 1993 for method 
# pCO2: Who - J. Olafsson/T. Takahashi; Status - final 
# 	Notes: Data from Olafsson 9/15/06 
# 	FID GC; measured at 4C 
# 	Values reported for wet air at theta 
# 	See Chipman et al., 1993 for method 
# CFC: Who - E. Fogelqvist/T.Tanhua; Status - final 
# 	Notes: CFC-11,12,113 & CCl4 
# 	Stds supplied by A. Watson 
# 	See Fogelqvist et al., 2003. 
# 	Data show significantly more scatter than expected 
# C-14: Who - R.Nydal/J.Gislefoss; Status - final 
# 	Notes: Unpublished data for 2 stations rcd from J. Olafsson via email copy of message originally sent to CCHDO 
# C-13: Who - R.Nydal/J.Gislefoss; Status - final 
# 	Notes: Data for 2 stations rcd from J. Olafsson via email copy of message originally sent to CCHDO  
# H-3/He-3: Who - R. Bayer; Status - final 
# 	Notes: Data from Bayer 9/28/06. Unpublished Reference to PI and 
# 	Institute of Environmental Physics, Univ. Heidelberg 
# 	H3 as TU; He3 as %; He4 as nm/g, with 0.5% standard error 
# Reference: 
# Chipman, D., J. Marra and T. Takahashi, Primary production at 47N and 20W in the North Atlantic: a comparison between the 14C incubation method and the mixed layer budget, Deep-Sea Res., 40, 151-169, 1993. 
# Fogelqvist, E., J. Blindheim, T. Tanhua, E. Buch, S. ¯sterhus and F. Rey, Greenland- Scotland Overflow studied by hydro-chemical multivariate analysis. Deep Sea Res. I, 50, 1, 73-102, 2003. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2TMP,PCO2_FLAG_W,TRITUM,TRITER,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHER,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,C14ERR,DELC14_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,PPM,DEGC,,TU,TU,,NMOL/KG,,PERCNT,PERCNT,,O/OO,,O/OO,O/OO,,DEGC
  58JH19940723,  AR18,   577,  2,     12,    115,2,19940726, 66.5100,  -1.8280, 3576,      1.2,   9.1888,  34.8304,2,  34.8324,2,    292.9,2,     0.69,2,     1.83,2,     0.07,2,     0.35,2,    4.973,1, -999.000,5, -999.000,5,    6.631,2,   2086.2,2,    285.8,    9.18867,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   9.1887
  58JH19940723,  AR18,   577,  2,     11,    104,2,19940726, 66.5100,  -1.8280, 3576,      7.6,   9.1848,  34.8279,2,-999.0000,9,    294.0,2,     0.69,2,     1.76,2,     0.07,2,     0.35,2,    5.891,1, -999.000,5, -999.000,5,    5.910,2,   2081.9,2,    285.6,       -999,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   9.1840
  58JH19940723,  AR18,   577,  2,     10,    107,2,19940726, 66.5100,  -1.8280, 3576,     18.1,   8.8701,  34.8348,2,  34.8428,2,    295.2,2,     0.72,2,     1.85,2,     0.06,2,     0.37,2,    5.043,2, -999.000,5,    0.445,2,    6.678,2,   2080.7,2,    286.2,    8.86817,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   8.8682
  58JH19940723,  AR18,   577,  2,      9,    111,2,19940726, 66.5100,  -1.8280, 3576,     28.3,   8.3382,  34.8717,2,  34.8943,2,    294.7,2,     0.85,2,     2.54,2,     0.06,2,     0.41,2, -999.000,5, -999.000,5, -999.000,5, -999.000,5,   2091.6,2,    287.2,     8.3353,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   8.3353
  58JH19940723,  AR18,   577,  2,      8,    112,2,19940726, 66.5100,  -1.8280, 3576,     48.4,   5.4191,  34.9392,2,  34.9435,2,    302.2,2,     2.72,2,     5.08,2,     0.16,2,     0.58,2,    5.709,2, -999.000,5, -999.000,5,    7.475,2,   2118.3,2,    283.8,    5.41521,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   5.4152
  58JH19940723,  AR18,   577,  2,      7,    100,2,19940726, 66.5100,  -1.8280, 3576,     72.7,   4.0803,  34.9290,2,  34.9201,2,    309.5,2,     5.28,2,    11.87,2,     0.16,2,     0.88,2,    6.483,2, -999.000,5, -999.000,5,    7.155,2,   2142.8,2,    346.6,    4.07522,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   4.0752
  58JH19940723,  AR18,   577,  2,      6,    106,2,19940726, 66.5100,  -1.8280, 3576,     99.3,   3.3039,  34.9111,2,  34.9185,2,    305.0,2,     5.68,2,    12.60,2,     0.02,2,     0.91,2, -999.000,5, -999.000,5, -999.000,5, -999.000,5,   2146.2,2,    344.5,    3.29755,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   3.2976
  58JH19940723,  AR18,   577,  2,      5,    113,2,19940726, 66.5100,  -1.8280, 3576,    122.8,   3.1494,  34.9336,2,  34.9443,2,    305.3,2,     5.72,2,    12.70,2,     0.02,2,     0.92,2, -999.000,5, -999.000,5, -999.000,5, -999.000,5,   2148.0,2,    341.6,    3.14168,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   3.1417
  58JH19940723,  AR18,   577,  2,      4,    105,2,19940726, 66.5100,  -1.8280, 3576,    147.8,   2.7113,  34.9073,2,  34.9111,2,    306.9,2,     5.79,2,    12.72,2,     0.02,2,     0.94,2,    5.852,2, -999.000,5, -999.000,5,    7.787,2,   2152.4,2,    346.0,    2.70251,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   2.7025
