BOTTLE,20090527PRINUNIVRMK
# 5/26/05 Initialized README file 
# Data from Kozyr via CARINA web site 
# Some additionale data may be in the BODC BOFS collection  
# Ship: Discovery 
# Cruise: 74DI182 
# Dates: 5/8 - 6/8/1989 
# EXPOCODE: 74DI19890511 
# Region: Section from 46N to 60N on 20W; Section from 23W,59N to 8W,56N; station group centered on 23W,59N 
# Chief Scientist - M.J.R. Fasham 
# 990 stations with 24 place Rosette; almost all data from top 250m 
# Hydro: Who - unknown; Status - unknown 
# 	Notes: Pressure approximated from listed depth? 
# 	Most data shallower than 500m 
# 	Cast and bottle numbers fabricated 
# 	Station 55 and higher are surface sample only 
# Nuts/O2: Who - unknown; Status - unknown 
# 	Notes: Few data, probably frozen 
# 	Phosphate values are very high. Flag all 4 
# 	Nitrate values reasonable 
# 	Silicate values high by factor of 2. flag all 4 
# 	Deep O2 may be low but otherwise values reasonable 
# TCO2: Who - Watson; Status - unknown 
# 	Notes: Method?, precision?, calibration? 
# 	Most of the subsurface TCO2 appear low by ~10-30umol/kg relative to GLODAP and TTO 
# pCO2: Who - unknown; Status - unknown 
# 	Notes: All values are at 5m 
# 	No temperature for pCO2 listed 
# pH: Who - Watson; Status - unknown 
# 	Notes: Measured by glass electrode potentiometry; SWS scale 
# 	pH temperature ranges from 16 to 22 
# 	converted to SWS@25C 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PH_SWS,PH_TEMP,PH_SWS_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PPM,,,DEGC,,DEGC
  74DI19890511,  A16N,     1,  1,      1,2,19890511, 47.1747, -19.6490, 4403,      0.5,-999.0000,-999.0000,9,   -999.0,9,     8.33,4,     1.63,2,     0.68,4,   2070.0,2,   -999.0,9,-999.0000,  -999.00,9,-999.0000
  74DI19890511,  A16N,     1,  1,      2,2,19890511, 47.1747, -19.6490, 4403,      9.6,-999.0000,-999.0000,9,   -999.0,9,     7.88,4,     1.96,2,     0.67,4,   2073.7,2,   -999.0,9,-999.0000,  -999.00,9,-999.0000
  74DI19890511,  A16N,     1,  1,      3,2,19890511, 47.1747, -19.6490, 4403,     19.1,-999.0000,-999.0000,9,   -999.0,9,     7.84,4,     2.76,2,     0.73,4,   2084.9,2,   -999.0,9,-999.0000,  -999.00,9,-999.0000
  74DI19890511,  A16N,     1,  1,      4,2,19890511, 47.1747, -19.6490, 4403,     28.6,-999.0000,-999.0000,9,   -999.0,9,     7.75,4,     3.35,2,     0.81,4,   2089.9,2,   -999.0,9,-999.0000,  -999.00,9,-999.0000
  74DI19890511,  A16N,     1,  1,      5,2,19890511, 47.1747, -19.6490, 4403,     39.9,-999.0000,-999.0000,9,   -999.0,9,     7.75,4,     3.74,2,     0.85,4,   2094.5,2,   -999.0,9,-999.0000,  -999.00,9,-999.0000
  74DI19890511,  A16N,     1,  1,      6,2,19890511, 47.1747, -19.6490, 4403,     49.5,-999.0000,-999.0000,9,   -999.0,9,     7.86,4,     4.28,2,     0.86,4,   2096.3,2,   -999.0,9,-999.0000,  -999.00,9,-999.0000
  74DI19890511,  A16N,     1,  1,      7,2,19890511, 47.1747, -19.6490, 4403,     74.1,-999.0000,-999.0000,9,   -999.0,9,     8.78,4,     5.30,2,     0.91,4,   2106.3,2,   -999.0,9,-999.0000,  -999.00,9,-999.0000
  74DI19890511,  A16N,     1,  1,      8,2,19890511, 47.1747, -19.6490, 4403,     99.5,-999.0000,-999.0000,9,   -999.0,9,     9.10,4,     6.00,2,     0.99,4,   2110.8,2,   -999.0,9,-999.0000,  -999.00,9,-999.0000
  74DI19890511,  A16N,     1,  1,      9,2,19890511, 47.1747, -19.6490, 4403,    124.4,-999.0000,-999.0000,9,   -999.0,9,     9.53,4,     6.43,2,     1.08,4,   2125.4,2,   -999.0,9,-999.0000,  -999.00,9,-999.0000
