BOTTLE,20090107PRINUNIVRMKPRINUNIVRMK
# 5/27/05 Initialized README file  
# Data from Kozyr via CARINA web site 
# Some of this data available from BODC in BOFS collection 
# Ship: Discovery 
# Cruise: 74DI191 
# Dates: 5/15 - 6/4/1990 
# EXPOCODE: 74DI19900515 
# Region: Sta 2&3 at 22W, 59N; remainder at 16W-18W, 48N=50N 
# Chief Scientist - unknown 
# 43 stations with 12 place Rosette (5 deep) 
# Hydro: Who - unknown; Status - final 
# 	Notes: Pressure approximated from listed depth? 
# 	Cast and bottle numbers fabricated 
# Nuts/O2: Who - unknown; Status - final 
# 	Notes: No oxygen data 
# 	Few deep nitrate values bit high, but general agreement with GLODAP 
# 	General silicate agreement with GLODAP 
# 	Approx 50% of phosphate very high and flagged 3 
# TCO2: Who - Watson; Status - final 
# 	Notes: Method?; Precision?; Calibration? 
# 	One deep station, remainder in upper 300m 
# 	Data compare well with GLODAP 
# pCO2: Who - Watson; Status - final 
# 	Notes: One deep station, remainder in upper 300m 
# 	No pCO2 temperature in file 
EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,THETA
,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PPM,,DEGC
  74DI19900515,     2,  1,      1,2,19900515, 58.9928, -21.9510, 2816,     49.4,   8.3170,-999.0000,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.0000
  74DI19900515,     2,  1,      2,2,19900515, 58.9928, -21.9510, 2816,     74.7,   8.2360,-999.0000,9,     9.26,2,    13.60,2,     0.13,2,     1.41,3,   2136.8,2,    425.1,2,-999.0000
  74DI19900515,     2,  1,      3,2,19900515, 58.9928, -21.9510, 2816,    101.9,   7.9700,-999.0000,9,     9.75,2,    14.09,2,     0.13,2,     1.46,3,   2140.3,2,    431.9,2,-999.0000
  74DI19900515,     2,  1,      4,2,19900515, 58.9928, -21.9510, 2816,    400.6,   7.2370,-999.0000,9,    10.72,2,    15.06,2,     0.08,2,     1.51,3,   2144.9,2,    451.2,2,-999.0000
  74DI19900515,     2,  1,      5,2,19900515, 58.9928, -21.9510, 2816,    600.6,   6.5680,-999.0000,9,    11.70,2,    16.53,2,  -999.00,9,     1.56,3,   2153.7,2,    479.6,2,-999.0000
  74DI19900515,     2,  1,      6,2,19900515, 58.9928, -21.9510, 2816,    898.9,   4.7800,-999.0000,9,    14.62,2,    19.45,2,  -999.00,9,     1.71,3,   2170.5,2,    549.8,2,-999.0000
  74DI19900515,     2,  1,      7,2,19900515, 58.9928, -21.9510, 2816,   1000.1,   4.3990,-999.0000,9,    14.62,2,    19.45,2,  -999.00,9,     1.71,3,   2170.6,2,    523.7,2,-999.0000
  74DI19900515,     2,  1,      8,2,19900515, 58.9928, -21.9510, 2816,   1497.4,   3.6350,-999.0000,9,    14.14,2,    18.48,2,  -999.00,9,     1.66,3,   2157.9,2,    517.6,2,-999.0000
  74DI19900515,     2,  1,      9,2,19900515, 58.9928, -21.9510, 2816,   2246.8,   3.3800,-999.0000,9,    15.60,2,    16.53,2,  -999.00,9,     1.61,3,   2159.3,2,    517.7,2,-999.0000
