BOTTLE,20090527PRINUNIVRMK
# 5/27/05 Initialized README file  
# Data from Kozyr via CARINA web site 5/11/04 
# Ship: Discovery 
# Cruise: 74DI192 
# Dates: 6/12 - 6/24/1990 
# EXPOCODE: 74DI19900612 
# Region: 46N-49N, 17W-15W 
# Chief Scientist - unknown 
# 20 stations with 12 place Rosette (4 deep) 
# Hydro: Who - unknown; Status - final 
# 	Notes: Pressure approximated from listed depth? 
# 	Cast and bottle numbers fabricated 
# Nuts/O2: Who - unknown; Status - final 
# 	Notes: No oxygen data 
# 	Some nitrate values in the upper 500m man be high, otheriwse compare ok with GLODAP 
# 	Silicate values compare favorably with GLODAP 
# 	Phosphate values compare favorably with GLODAP 
# TCO2: Who - Watson/Pegler; Status - final 
# 	Notes: Method??; Precision??; Calibration?? 
# 	Data compare favorably with GLODAP 
# TA: Watson/Pegler; Status - finalfinal 
# 	Notes: Method??; Precision??; Calibration?? 
# 	Data are ~18umol/kg lower than the 1 GLODAP station in the area 
# pCO2: Watson/Pegler; Status - final 
# 	Notes: Method??; Precision??; Calibration?? 
# 	No pCO2t in file 
# 	wet/dry? 
# pH: Watson/Pegler; Status - final 
# 	Notes: Method??; Precision??; Calibration?? 
# 	No pH scale and temperature reported. 
# 	analysis indicates that pH was measured on NBS scale. converted to SWS@25C based on this assumption. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_TEMP,PH_SWS_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PPM,,UMOL/KG,,,DEGC,,DEGC
  74DI19900612,  A16N,     2,  1,      1,2,19900612, 46.5460, -15.7080, 4779,      4.4,  15.3690,  35.6470,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,   2343.0,2,-999.0000,  -999.00,9,  15.3683
  74DI19900612,  A16N,     2,  1,      2,2,19900612, 46.5460, -15.7080, 4779,      9.5,  15.3700,  35.6560,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,   2330.0,2,-999.0000,  -999.00,9,  15.3685
  74DI19900612,  A16N,     2,  1,      3,2,19900612, 46.5460, -15.7080, 4779,     19.2,  15.0610,-999.0000,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,   2333.0,2,-999.0000,  -999.00,9,-999.0000
  74DI19900612,  A16N,     2,  1,      4,2,19900612, 46.5460, -15.7080, 4779,     29.3,  12.7660,-999.0000,9,     0.58,2,     0.27,2,     0.00,2,     0.00,2,   -999.0,9,   -999.0,9,   2329.0,2,-999.0000,  -999.00,9,-999.0000
  74DI19900612,  A16N,     2,  1,      5,2,19900612, 46.5460, -15.7080, 4779,     39.3,  12.2620,  35.6830,2,     0.62,2,     0.86,2,     0.04,2,     0.04,2,   -999.0,9,   -999.0,9,   2332.0,2,-999.0000,  -999.00,9,  12.2568
  74DI19900612,  A16N,     2,  1,      6,2,19900612, 46.5460, -15.7080, 4779,     49.2,  12.1090,  35.6670,2,     0.97,2,     3.54,2,     0.34,2,     0.22,2,   -999.0,9,   -999.0,9,   2332.0,2,-999.0000,  -999.00,9,  12.1025
  74DI19900612,  A16N,     2,  1,      7,2,19900612, 46.5460, -15.7080, 4779,     59.7,  12.0280,  35.6580,2,     1.60,2,     6.52,2,     0.42,2,     0.38,2,   -999.0,9,   -999.0,9,   2335.0,2,-999.0000,  -999.00,9,  12.0202
  74DI19900612,  A16N,     2,  1,      8,2,19900612, 46.5460, -15.7080, 4779,     74.4,  11.9880,  35.6530,2,     3.01,2,     8.86,2,     0.03,2,     0.49,2,   -999.0,9,   -999.0,9,   2328.0,2,-999.0000,  -999.00,9,  11.9783
  74DI19900612,  A16N,     2,  1,      9,2,19900612, 46.5460, -15.7080, 4779,     99.9,  11.6690,  35.6160,2,     3.26,2,     9.44,2,     0.01,2,     0.54,2,   -999.0,9,   -999.0,9,   2327.0,2,-999.0000,  -999.00,9,  11.6562
  74DI19900612,  A16N,     2,  1,     10,2,19900612, 46.5460, -15.7080, 4779,    149.0,  11.4280,  35.5810,2,     3.65,2,    10.13,2,     0.00,2,     0.59,2,   -999.0,9,   -999.0,9,   2317.0,2,-999.0000,  -999.00,9,  11.4091
  74DI19900612,  A16N,     2,  1,     11,2,19900612, 46.5460, -15.7080, 4779,    198.9,  11.2840,  35.5590,2,     3.70,2,    10.22,2,     0.00,2,     0.60,2,   -999.0,9,   -999.0,9,   2314.0,2,-999.0000,  -999.00,9,  11.2589
  74DI19900612,  A16N,     2,  1,     12,2,19900612, 46.5460, -15.7080, 4779,    299.2,  11.0980,  35.5300,2,     3.99,2,    10.76,2,     0.00,2,     0.63,2,   -999.0,9,   -999.0,9,   2317.0,2,-999.0000,  -999.00,9,  11.0605
