BOTTLE,20040112WHPSIOSA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: Jan. 12, 2004
#original HYD file: s04phy.txt   Mon Jan 12 11:16:38 2004
#original SUM file: s04psu.txt   Mon Aug 13 15:01:03 2001
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,C14ERR,HELIER,DELHER,NEONER,THETA,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,UMOL/KG,,UATM,,DEC C,/MILLE,NMOL/KG,PERCNT,NMOL/KG,DEG C,TU
  90KDIOFFE6_1,  S04P,   682,  1,      8,      8,2,19920222,2033,-67.4678, -70.0892,  228,     13.2,  -0.0896,  33.3128,2,  33.3142,2,    331.3,2,    349.8,2,    63.40,2,    21.43,2,     0.15,2,     1.55,2,    8.257,4,    2.776,3,    0.177,2,   1.7950,2,    -1.95,2,   -122.8,2,     1.21,2,   8.103,2,   2120.5,2,    369.0,2,    3.99,     2.7,  0.0050,   0.210,   0.020, -0.0900,   0.142
  90KDIOFFE6_1,  S04P,   682,  1,      7,      7,2,19920222,2033,-67.4678, -70.0892,  228,     33.4,  -0.0077,  33.6091,2,  33.6110,2,    307.8,2,    336.9,2,    62.31,2,    23.28,2,     0.13,2,     1.69,2,    7.568,4,    2.686,3, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   2147.1,2,    403.9,2,    3.99,  -999.0,-999.0000,-999.000,-999.000, -0.0088,-999.000
  90KDIOFFE6_1,  S04P,   682,  1,      6,      6,2,19920222,2033,-67.4678, -70.0892,  228,     53.2,  -1.1118,  33.7673,2,  33.7587,2,    308.6,2,    307.3,2,    71.89,2,    25.63,2,     0.19,2,     1.86,2,    5.899,3,    2.167,3,    0.139,2,   1.9090,2,    -0.01,2,   -123.7,2,     0.78,2,   8.767,2,   2169.1,2,    464.2,2,    3.99,     2.5,  0.0050,   0.280,   0.019, -1.1131,   0.004
  90KDIOFFE6_1,  S04P,   682,  1,      5,      5,2,19920222,2033,-67.4678, -70.0892,  228,     78.7,  -1.4715,  33.9073,2,  33.9139,2,    289.0,2,    298.6,2,    74.23,2,    27.38,2,     0.23,2,     1.94,2,    5.576,3,    2.063,3, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   2192.7,2,    502.1,2,    3.99,  -999.0,-999.0000,-999.000,-999.000, -1.4732,-999.000
  90KDIOFFE6_1,  S04P,   682,  1,      4,      4,2,19920222,2033,-67.4678, -70.0892,  228,    103.2,  -1.5325,  34.0166,2,  34.0250,2,    288.2,2,    289.8,2,    77.06,2,    28.65,2,     0.09,2,     1.99,2,    5.274,3,    1.969,3, -999.000,9,   1.9040,2,     1.07,2,   -124.6,2,     0.61,2,   8.472,2,   2202.6,2,    526.2,2,    3.99,     3.3,  0.0060,   0.200,   0.020, -1.5347,-999.000
  90KDIOFFE6_1,  S04P,   682,  1,      3,      3,2,19920222,2033,-67.4678, -70.0892,  228,    153.5,  -0.2005,  34.3359,2,  34.3321,2,    232.3,2,    233.5,2,    91.41,2,    31.09,2,     0.05,2,     2.14,2,    2.654,2,    1.124,3,    0.084,2,   1.8840,2,     4.35,2,   -120.4,2,     0.41,2,   8.319,2,   -999.0,9,    599.3,2,    3.99,     3.1,  0.0050,   0.200,   0.016, -0.2058,   0.003
  90KDIOFFE6_1,  S04P,   682,  1,      2,      2,2,19920222,2033,-67.4678, -70.0892,  228,    194.1,   0.6388,  34.5170,2,  34.5205,2,    203.2,2,    200.9,2,    99.90,2,    31.87,2,     0.03,2,     2.24,2,    1.276,6,    0.533,3, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,   2251.1,2,    625.8,2,    3.99,  -999.0,-999.0000,-999.000,-999.000,  0.6307,-999.000
  90KDIOFFE6_1,  S04P,   682,  1,      1,      1,2,19920222,2033,-67.4678, -70.0892,  228,    218.4,   0.9796,  34.5945,2,  34.5930,2,    187.4,2,    190.0,2,   104.30,2,    32.06,2,     0.03,2,     2.24,2,    0.785,2,    0.326,3,    0.046,2,   1.9050,2,     7.46,2,   -145.2,2,     0.12,2,   8.267,2,   2264.7,2,    635.8,2,    3.99,     3.1,  0.0050,   0.200,   0.018,  0.9697,   0.003
  90KDIOFFE6_1,  S04P,   683,  1,     19,     19,2,19920222,2344,-67.1657, -71.1207,  439,     13.4,   0.2621,  33.5255,2,  33.5226,2,    335.9,2,    342.6,2,    58.26,2,    22.01,2,     0.13,2,     1.58,2,    6.168,2,    2.796,3, -999.000,9,   1.8010,2,    -1.37,2,   -113.8,2,     1.29,2,   7.945,2,   2128.9,2,    374.0,2,    3.99,     2.5,  0.0050,   0.190,   0.037,  0.2616,-999.000
