Flag changes Bob Key
file,parameter,Bob_station,Bob_bottle,old_station,old_bottle,old_flag,Bob_flag
49UF20100108,G2silicatef,2584,19374,2584,19374,2,3
49UF20100108,G2talkf,2569,16017,2569,16017,2,3
49UF20100414,G2talkf,2615,21973,2615,21973,2,3
49UP20081105,G2oxygenf,3258,18563,3258,18563,2,3
49UP20081105,G2oxygenf,3260,18563,3260,18563,2,3
49UP20081105,G2nitratef,3258,18563,3258,18563,2,3
49UP20081105,G2nitratef,3260,18563,3260,18563,2,3
49UP20081105,G2phosphatef,3258,18563,3258,18563,2,3
49UP20081105,G2phosphatef,3260,18563,3260,18563,2,3
49UP20081105,G2silicatef,3258,18563,3258,18563,2,3
49UP20081105,G2silicatef,3260,18563,3260,18563,2,3
49UP20100115,G2oxygenf,3560,18568,3560,18568,2,3
49UP20100115,G2nitratef,3560,18568,3560,18568,2,3
49UP20100115,G2phosphatef,3560,18568,3560,18568,2,3
49UP20100514,G2oxygenf,3622,22085,3622,22085,2,3
49UP20100514,G2talkf,3628,22107,3628,22107,2,3
49UP20110107,G2oxygenf,3911,22093,3911,22093,2,4
49UP20110107,G2oxygenf,3921,22089,3921,22089,2,3
49UP20111205,G2talkf,4205,22099,4205,22099,2,3
49UP20120111,G2oxygenf,4271,22092,4271,22092,2,3
49UP20120111,G2oxygenf,4271,22091,4271,22091,2,3
49UP20120111,G2oxygenf,4271,22088,4271,22088,2,3
49UP20140703,G2oxygenf,5148,21998,5148,21998,2,4
